,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_3,label3_2,label3_1
0,600004,白云机场,0.11,0.35,3.54,40784.65,25.75,38.6756,1583.7475,1.3695,1.6489,54.5818,12.7841,7.04,0.7344,122.54899999999999,9.7769,18.953,8.3198,15.3217,16.6667,9.3583,0.7295,0.7031,20.8958,-25889.9029,61.0689,38.9311,0.2802,0.0238,1.0802,0.0613,14.5871,0,0,-1
1,600009,上海机场,0.52,0.41,3.49,79142.35,41.76,45.3529,1895.1619,0.9834,1.6057,56.0503,51.9929,1.7309999999999999,0.1677,536.6726,15.7695,23.0639,9.7413,6.7299,24.2424,10.1497,2.7049,2.7003,235.3706,-5705.3245,84.7884,15.2116,0.2595,0.0178,0.593,0.1169,11.6945,0,0,-1
2,600011,华能国际,0.35,0.04,0.89,65197.93,1.73,12.3047,37577.079,2.4721,2.3963,37.5579,4.7586,18.9131,0.9129,98.5869,30.3726,-80.5871,-8.2064,26.0615,-84.6154,-11.8671,0.2843,0.2406,7.0693,167.2174,24.7826,75.2174,0.2036,0.0204,7.8864,0.0271,4.7932,0,0,1
5,600018,上港集团,0.18,0.05,1.86,114157.76,14.28,28.2537,7992.5182,0.3448,2.8021,32.1188,0.8886,101.2829,0.3259,276.1583,12.4841,-2.6842,4.5622,21.6393,-6.2738,5.1566,0.7589,0.5581,39.9917,1269.8889,59.88,40.12,0.0993,0.0067,0.55,0.0167,2.3796,0,0,0
6,600019,宝钢股份,0.62,0.17,2.5,378615.48,4.45,11.857999999999999,85010.0524,3.8461,6.2459,14.4095,1.6792,53.597,0.6733,133.67,141.0029,170.8801,33.0132,40.9297,88.8889,34.311,0.8683,0.5595,12.886,700.5436,44.5712,55.4288,0.0229,0.0053,0.46799999999999997,0.0095,1.1265,0,0,-1
7,600023,浙能电力,0.21,0.07,1.59,93482.25,8.52,11.773,10971.9944,0.8067,2.0845,43.1758,3.7284,24.139,0.4347,207.0393,35.1762,-38.5954,3.7065,2.5573,-36.3636,4.8472,1.7633,1.57,112.6363,578.6719,63.4271,36.5729,0.2053,0.0212,2.1783,0.0579,15.4738,0,0,0
9,600027,华电国际,0.17,0.0,0.03,1183.6,0.06,9.0527,19109.043,1.9374,3.0445,29.5615,7.1895,12.5183,0.9542,94.3198,13.3773,-96.6009,-3.1102,0.2774,-99.4565,-3.1910000000000003,0.2811,0.2501,7.9808,119.776,27.3513,72.6487,0.1205,0.0112,27.799,0.0154,3.4081,0,0,0
10,600028,中国石化,0.67,0.14,2.31,1663300.0,2.85,19.9021,582185.0,4.8086,10.9275,8.2361,2.9472,30.5375,1.4114,63.7665,40.6958,140.2548,7.1691,5.8117,168.6275,6.1683,0.938,0.5745,30.6949,3483.3132,57.7184,42.2816,0.0228,0.009000000000000001,0.6123,0.0212,3.0174,0,0,0
11,600029,南方航空,0.24,0.16,3.53,155000.0,5.0,14.747,30969.0,3.1544,10.3679,8.6806,15.9577,5.6399,2.1918,41.0621,10.6312,-39.1736,7.6746,8.3969,-40.7407,7.6041,0.2178,0.192,7.8155,508.6655,28.0348,71.9652,0.0923,0.0141,1.5527,0.0196,4.2932,0,0,-1
13,600031,三一重工,0.49,0.1,3.22,74570.4,7.95,32.5546,9376.806999999999,1.2244,0.5132,175.3702,0.9703,92.7548,0.2475,363.6364,79.3752,717.7583,-1.2026,-3.3207,708.3333,-0.539,1.6166,1.3249,25.7026,388.4138,40.0537,59.9463,0.3198,0.0493,3.6944,0.0823,12.835999999999999,0,0,-1
15,600038,中直股份,0.12,0.12,1.03,7101.38,3.4,12.7824,2087.9066,3.5419,1.5258,58.9855,0.162,555.5556,0.1248,721.1538,-14.5929,27.9821,7.9279,-5.2622,27.6483,4.9116,1.3453,0.4037,23.9225,3065.8823,34.7776,65.2224,0.2627,0.0267,7.6749,0.0409,4.3069999999999995,0,0,1
16,600048,保利地产,0.9,0.16,2.1,189144.18,10.56,38.3191,17903.7493,1.5097,11.7645,7.6501,0.0348,2586.2069,0.0392,2295.9184,-5.1406,1.1459,21.7351,21.7955,23.0769,25.2604,1.813,0.5545,22.7871,808.3038,23.5857,76.4143,-0.7681,-0.0268,-5.4541,-0.0351,-5.2145,0,0,0
17,600050,中国联通,0.51,0.01,0.35,27426.39,0.39,24.9724,69005.1628,3.2554,3.6409,24.7192,21.2783,4.2297,0.8253,109.0513,-1.8974,87.3182,-0.9839,0.1844,86.9565,-0.9751,0.2601,0.2527,7.5355,189.9686,38.5261,61.4739,0.3182,0.0364,26.5504,0.0593,6.7203,0,0,0
18,600061,国投资本,0.08,0.15,2.17,56701.64,260.5,3.7013,217.6577,0.0589,0.8192,109.8633,2.3890000000000002,37.6727,0.0019,47368.4211,-1.814,-1.8681,11.8107,12.7009,-16.6667,0.5468,1.2749,1.2741,59.0061,2366.5592,20.413,79.587,-6.5279,-0.0098,-2.2402,-0.0124,-1.504,0,0,0
19,600066,宇通客车,0.17,0.14,2.3,31621.61,8.17,24.0231,3868.4586,1.7473,0.2703,332.9634,1.5468,58.1846,0.1603,561.4473,-24.5442,-17.1358,5.0407,7.1687,-18.1287,4.9918,1.5355,1.4006,29.8608,2053.1534,47.6619,52.3381,-0.8618,-0.1134,-10.1834,-0.2167,-23.9745,0,0,-1
20,600068,葛洲坝,0.19,0.13,2.64,74641.36,3.21,11.2573,23184.6901,5.0349,2.0216,44.5192,0.4576,196.6783,0.2217,405.954,37.8648,33.1649,75.8701,24.1742,-6.4286,89.6337,1.6071,0.8512,26.7912,459.6087,31.5269,68.4731,-0.2561,-0.0372,-6.0246,-0.0543,-8.7874,0,0,1
21,600085,同仁堂,0.16,0.21,3.7,29390.4,8.01,46.0214,3667.6168,2.6742,2.9079,30.9502,0.3868,232.6784,0.2685,335.1955,12.6202,13.2609,11.0531,17.1861,11.4583,9.552,3.5005,2.2619,144.7617,19139.4483,71.4416,28.5584,0.0783,0.0163,0.5731,0.0571,7.2455,0,0,-1
22,600089,特变电工,0.27,0.19,2.62,61443.91,7.52,23.0294,8167.5568,2.5224,0.8472,106.2323,0.5743,156.7125,0.1861,483.611,-6.2262,23.3823,9.0815,6.7672,11.0785,8.8556,1.226,0.9441,39.4009,626.2655,36.0027,63.9973,-0.1688,-0.0176,-1.7461,-0.0275,-3.7351,0,0,1
24,600104,上汽集团,1.0,0.72,4.0,826103.51,4.27,13.1826,193168.3487,16.5334,5.5453,16.23,3.8931,23.1178,0.5649,159.3202,5.7166,1.3584,16.758,19.7543,0.1389,17.2904,1.1798,1.0156,55.6571,34338.1948,41.7798,58.2202,-0.0263,-0.0081,-0.4402,-0.0139,-1.6963,0,0,-1
25,600115,东方航空,0.2,0.19,5.79,281800.0,11.48,12.4389,24536.0,1.6959,10.0661,8.9409,9.4789,9.4948,1.5289,58.8659,4.2577,5.4045,32.2159,10.7209,-1.6162,33.4505,0.2362,0.2029,3.53,811.0454,25.3753,74.6247,0.1052,0.0123,0.8646,0.0165,3.7603,0,0,0
26,600153,建发股份,0.13,0.15,1.94,42224.26,1.08,4.9487,38988.0858,13.7514,10.8164,8.3207,0.5448,165.1982,0.33,272.7273,69.6681,29.3131,23.8921,31.3598,36.3636,14.0467,1.5514,0.6537,16.9224,776.5331,22.4598,77.5402,-0.3874,-0.1011,-30.5198,-0.1304,-18.1404,0,0,-1
27,600157,永泰能源,0.09,0.01,0.45,10669.05,2.0,23.4574,5316.6151,0.4278,1.4513,62.0134,9.7838,9.1989,0.3555,253.1646,203.8371,125.4983,14.8617,13.1707,91.1111,17.14,0.4263,0.4138,16.476,122.6015,29.5611,70.4389,0.1592,0.0085,6.0065,0.0121,2.4453,0,0,1
28,600176,中国巨石,0.22,0.19,4.2,47031.58,25.29,47.0924,1859.506,0.7645,1.2364,72.792,0.6833,131.7137,0.22899999999999998,393.0131,5.5215,30.9746,13.1872,2.753,-40.5472,13.2042,0.8690000000000001,0.7072,22.7112,681.0793,47.4744,52.5256,0.2287,0.0175,0.8973,0.0334,4.6017,0,0,-1
29,600177,雅戈尔,0.19,0.49,5.51,126178.9,37.17,46.7656,3394.4652,1.3269,14.9177,6.0331,0.1555,578.7781,0.12300000000000001,731.7073,-38.9256,-50.952,14.3436,1.1678,-55.131,14.7716,1.2826,0.7657,41.6703,689.929,36.1281,63.8719,0.0115,0.0006,0.0309,0.0009,0.1749,1,1,1
30,600196,复星医药,0.25,0.32,3.3,73774.67,19.01,55.3378,3880.4548,1.6071,1.8447,48.7884,1.0055,89.5077,0.33399999999999996,269.4611,20.2854,9.734,21.8205,19.4884,18.5185,21.8906,1.1362,0.9743,65.6426,877.1464,54.863,45.137,0.1037,0.0085,0.4812,0.0188,3.6654,0,0,0
31,600208,新湖中宝,0.13,0.04,1.3,38048.9,24.76,16.6175,1536.4873,0.1786,21.6764,4.152,0.0243,3703.7037,0.0185,4864.8649,-20.6539,245.0143,24.3574,29.1133,266.6667,27.3218,2.185,0.8442,62.2541,215.2391,24.7437,75.2563,1.1238,0.0141,4.4386,0.0187,4.3115,0,0,1
32,600233,圆通速递,0.04,0.1,3.35,27928.82,7.99,11.704,3493.7888,1.2383,18.3726,4.8986,89.6385,1.004,0.5587,161.0882,1406.4277,1376.6931,550.8731,586.9439,28.0724,683.6519,2.7277,2.7110000000000003,97.7666,-11592.3514,79.3074,20.6926,-0.062,-0.0202,-0.7755,-0.0978,-9.9538,0,1,1
33,600271,航天信息,0.27,0.21,4.15,39561.25,7.2,15.2898,5487.1468,2.9455,3.4027,26.4496,3.3606,26.7809,0.3996,225.2252,32.7076,8.753,16.7394,21.776999999999997,-48.7805,15.4267,3.1657,2.7965,167.1207,14255.2457,62.5406,37.4594,-0.122,-0.0358,-1.3126,-0.0956,-13.9718,0,0,-1
34,600276,恒瑞医药,1.24,0.34,6.35,81184.76,25.61,86.79899999999999,3169.365,1.3501,1.339,67.2143,0.5888,152.8533,0.2678,336.0717,18.7649,18.2326,23.8182,25.3822,-1.8234,24.2346,8.0787,7.5625,392.3943,-4804.903,89.4298,10.5702,0.1924,0.0398,0.7548,0.3769,40.109,0,0,1
