,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_3,label3_2,label3_1
1,600004,白云机场,0.11,0.57,10.43,117670.07,23.92,38.9515,4918.4892,2.3768,5.6854,47.4901,41.9282,6.4396,2.2028,122.5713,8.466000000000001,11.3577,36.0153,19.0467,-38.0435,36.939,0.5415,0.5252,22.9456,-68384.4222,72.8052,27.1948,0.3236,0.0789,1.3487,0.2901,36.3402,0,0,-1
2,600009,上海机场,0.52,1.4,11.52,269212.25,44.8,48.2332,6008.7949,3.1182,4.7846,56.431000000000004,165.8007,1.6285,0.5745,469.9739,14.8952,27.1099,11.3548,1.1245,28.4404,11.7855,4.6264,4.6183,369.5868,-5400.8149,92.141,7.859,0.4606,0.1037,0.9832,1.3196,132.0979,0,0,-1
3,600010,包钢股份,0.29,0.03,2.89,140657.64,4.03,15.1523,34881.7116,0.7652,15.539000000000001,17.3756,1.8347,147.16299999999998,0.9898,272.7824,74.3852,558.3083,2.8546,2.4059,329.1667,2.813,0.4301,0.2316,8.6284,267.9028,33.8546,66.1454,0.1115,0.0269,2.7686,0.0407,4.4469,0,0,1
4,600011,华能国际,0.35,0.19,3.93,286033.9,2.57,12.0543,111074.3506,7.3073,7.0937,38.0619,13.4806,20.0288,2.4433,110.5063,33.4697,-70.9383,-5.1331,27.7446,-69.3548,-8.0952,0.3348,0.2875,10.2491,166.3772,24.4518,75.5482,0.1941,0.0563,6.4468,0.0745,13.3777,0,0,1
6,600018,上港集团,0.18,0.21,7.75,476329.42,18.89,30.2197,25215.3512,1.0881,8.9323,30.2274,2.4525,110.0917,0.9596,281.3672,10.5322,20.6684,3.9308,1.61,20.3162,4.1586,0.9281,0.6659,50.1946,1413.3623,58.5115,41.4885,0.3337,0.0705,1.4596,0.17,27.1129,0,1,1
7,600019,宝钢股份,0.62,0.53,7.6,1166834.33,4.63,10.8924,251837.4695,11.3939,18.5643,14.544,5.4166,49.8468,2.1456,125.8389,88.7337,114.9117,30.2209,29.8793,55.8824,33.2018,0.8994,0.5799,11.2732,614.3251,48.0951,51.9049,0.0521,0.0379,1.0486,0.073,8.9086,0,0,-1
8,600023,浙能电力,0.21,0.28,6.35,377245.41,10.03,12.4806,37583.6755,2.7633,7.2428,37.2784,12.5178,21.5693,1.5362,175.7584,31.0053,-38.536,1.7621,1.795,-34.8837,2.7991,1.6364,1.4412,99.3104,716.7323,62.9326,37.0674,0.19399999999999998,0.0681,1.7633,0.1837,49.4589,0,0,0
10,600027,华电国际,0.17,-0.02,-0.57,-23739.6,-0.4,10.5119,58093.184,5.89,8.471,31.8735,18.0716,14.9406,2.6674,101.2222,26.6185,-98.3617,-5.0681,3.134,-106.366,-4.3806,0.303,0.2623,9.3345,112.9133,26.061,73.939,0.1643,0.0455,113.2393,0.0616,12.8547,0,0,1
11,600028,中国石化,0.67,0.32,5.37,3837300.0,2.19,19.4503,1744955.0,14.4126,33.373000000000005,8.0904,8.8572,30.4837,4.1087,65.7142,27.9344,29.3461,3.9241,4.494,31.5353,3.4358,0.968,0.6118,35.8529,3721.5084,57.2527,42.7473,0.0637,0.0753,2.1454,0.1762,24.6233,0,0,0
12,600029,南方航空,0.24,0.71,15.09,705000.0,7.33,15.6872,96123.0,9.5282,28.8571,9.3564,48.1402,5.6086,6.1495,43.906000000000006,10.9299,8.9582,12.9274,9.7343,7.5758,14.307,0.302,0.2713,10.9126,1276.4967,30.0505,69.9495,0.1786,0.0812,2.0905,0.1161,29.621,-1,-1,-1
