,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_1,label3_2,label3_3
1,600004,白云机场,0.11,0.55,6.93,78090.3,24.29,39.4627,3213.6615,2.2518,4.1724,43.1406,27.2795,6.5984,1.4313,125.7598,7.672999999999999,12.6597,36.9623,16.6421,-8.3333,38.0578,0.6006,0.5829,32.9989,-33622.5236,73.7671,26.2329,0.5003,0.083,2.0443,0.3163,40.2927,1,1,1
2,600009,上海机场,0.52,0.88,7.33,169579.94,43.5,48.2239,3897.7133,2.0227,3.4497,52.1785,106.9126,1.6836,0.3245,554.6995,14.713,20.2163,10.3339,9.6181,20.5479,10.7524,2.3575,2.3543,197.9638,-6672.6501,81.2585,18.7415,0.4918,0.0661,1.0785,0.3528,35.2973,1,0,0
3,600010,包钢股份,0.29,0.01,1.24,58765.41,2.78,11.9504,21132.3771,0.4635,12.7197,14.1513,1.1826,152.207,0.6285,286.3962,75.56,5116.3949,1.5189,1.5959,1512.5,1.4978,0.3954,0.2048,7.0621,293.7414,33.7743,66.2257,0.1293,0.0192,4.7192,0.028999999999999998,3.1424,-1,0,0
4,600011,华能国际,0.35,0.05,1.08,78757.25,1.1,11.489,71433.6887,4.6994,4.5885,39.2285,8.2771,21.7467,1.6328,110.2401,34.9731,-86.626,-8.7405,27.5422,-87.8049,-12.5647,0.2981,0.2486,7.2905,138.3454,23.2301,76.7699,0.2002,0.0376,13.7896,0.049,8.4379,0,0,0
6,600018,上港集团,0.18,0.15,5.46,337280.73,20.17,30.2397,16718.3101,0.7214,5.7746,31.171,1.7305,104.0162,0.664,271.0843,8.4477,15.6029,3.2739,15.0128,15.5679,3.6219,0.7045,0.5121,36.1273,1610.1671,58.3259,41.6741,0.193,0.0275,0.8009999999999999,0.0659,8.5442,0,0,0
7,600019,宝钢股份,0.62,0.28,4.06,616957.52,3.63,10.0884,169932.5087,7.6883,13.4347,13.3981,3.7321,48.2302,1.3911,129.394,117.8823,86.0902,29.1487,33.8816,33.3333,30.9664,0.875,0.5911,12.0316,527.8579,45.5348,54.4652,0.0385,0.0183,0.9707,0.0337,4.0278,1,0,0
8,600023,浙能电力,0.21,0.18,4.03,238268.97,10.52,11.7283,22629.0524,1.6638,4.9378,36.4535,7.4415,24.1887,0.9633,186.8577,26.8236,-47.2527,2.9352,2.342,-41.9355,4.1407,1.5223,1.3171,91.6922,664.3326,62.5847,37.4153,0.2299,0.0495,2.0365,0.1324,35.7102,0,0,0
12,600031,三一重工,0.49,0.15,4.94,116011.0,6.03,29.8594,19207.82,2.5082,1.0445,172.3313,2.1471,83.834,0.515,349.5146,71.1913,715.1199,3.0189999999999997,-4.0264,738.8889,3.478,1.5341,1.2688,16.3371,308.3582,42.0705,57.9295,0.3068,0.099,4.64,0.1709,24.7046,1,0,0
14,600038,中直股份,0.12,0.26,2.22,15348.16,2.89,9.9382,5309.24,9.0067,3.8346,46.941,0.4169,431.7582,0.3163,569.08,-4.4575,-11.9515,9.1207,9.656,-12.2937,4.5753,1.3514,0.3768,23.563,-2975.8327,34.9153,65.0847,0.0828,0.0213,2.852,0.0327,3.4453,0,0,0
15,600050,中国联通,0.51,0.04,1.0,77843.73,0.56,25.3464,138159.9311,6.518,7.08,25.4237,48.8429,3.6853,1.5511,116.0467,-1.4934,73.6705,0.9901,-0.3692,73.9336,0.8573,0.292,0.2866,10.9363,238.7259,38.977,61.023,0.3596,0.083,21.1802,0.1361,15.1256,1,1,0
16,600061,国投资本,0.08,0.34,4.78,126705.26,360.71,6.2456,351.2633,0.095,1.2826,140.3399,3.7043,48.5922,0.0032,56250.0,17.0267,4.242,12.335,6.4403,-10.5263,0.8434,1.3049,1.304,50.5021,2103.966,23.0819,76.9181,-7.6144,-0.0204,-1.8512,-0.0265,-3.2566,0,0,0
17,600066,宇通客车,0.17,0.36,6.25,80505.18,8.64,24.9353,9313.0675,4.2065,0.6359,283.0634,3.2546,55.3063,0.3765,478.0876,-29.8087,-34.7701,13.0955,19.4672,-35.7143,12.994000000000002,1.3463,1.2047,22.5232,1807.7331,40.1232,59.8768,-0.4824,-0.147,-5.4337,-0.2455,-26.8198,-1,0,0
18,600068,葛洲坝,0.19,0.31,6.18,173377.56,3.45,11.564,50184.6222,10.8983,4.4567,40.3886,0.9494,189.5934,0.4697,383.2233,27.7736,29.2651,73.5631,21.9375,0.9646,65.4836,1.5108,0.7812,27.7937,455.969,31.4529,68.5471,-0.0467,-0.0141,-1.0391,-0.0206,-3.1312,1,0,0
19,600085,同仁堂,0.16,0.44,7.42,59980.21,8.56,48.2589,6999.3079,5.1035,6.1686,29.18,0.6686,269.2193,0.4982,361.3007,9.6248,7.5294,10.0136,17.4077,6.3260000000000005,8.8961,2.9785,1.8589,127.4982,95824.8889,67.5959,32.4041,0.1238,0.0468,0.8466,0.1446,17.6145,0,0,0
21,600104,上汽集团,1.0,1.38,7.59,1595821.22,4.09,12.8412,390107.8589,33.3897,11.203,16.0671,7.9031,22.7759,1.1215,160.4993,12.652000000000001,2.9068,13.4751,23.6124,0.9517,17.0274,1.0987,0.951,50.2933,19612.9524,38.6598,61.3402,0.0375,0.023,0.6667,0.0374,4.405,0,0,0
22,600115,东方航空,0.2,0.3,8.79,434700.0,9.05,11.2432,48020.0,3.3191,17.5672,10.2464,18.5268,9.7157,2.4358,73.8977,3.6433,30.9652,10.8826,5.6425,22.1545,10.4538,0.3048,0.2744,11.2937,841.8485,24.5595,75.4405,0.1514,0.0325,1.5716,0.0431,9.4172,0,0,0
23,600118,中国卫星,0.11,0.15,3.55,17636.44,6.58,14.2661,2678.6788,2.2652,0.8440000000000001,213.2701,1.9648,91.6124,0.3191,564.0865,21.8517,5.7167,7.0738,4.5336,7.1429,6.2159,1.7739,1.4709999999999999,56.8001,-944.4529,52.8774,47.1226,-0.2615,-0.0633,-3.608,-0.1343,-14.6346,0,0,0
24,600153,建发股份,0.13,0.33,4.26,93459.73,1.01,4.6659,91634.6344,32.3203,23.9544,7.5143,1.2569,143.2095,0.7433,242.1633,66.066,1.6955,29.325,33.2311,10.0,14.2651,1.6447,0.7283,24.3007,556.1044,21.0105,78.9895,-0.1331,-0.076,-10.8614,-0.0962,-14.3816,1,0,0
25,600157,永泰能源,0.09,0.02,1.07,25468.23,2.18,22.6336,11676.3509,0.9396,3.3458,53.7988,19.5012,9.2302,0.6674,269.7033,171.1761,18.3603,1.6882,11.7019,-1.9139,-0.2261,0.5677,0.5526,30.9687,127.3498,27.8966,72.1034,0.1908,0.0211,7.0673,0.0293,6.3743,0,0,0
26,600176,中国巨石,0.22,0.34,8.87,100631.72,24.67,46.2745,4077.4684,1.3969999999999998,2.5887,69.533,1.6412,109.6758,0.5004,359.7122,9.7168,31.23,10.9395,4.7708,10.0543,11.0491,0.904,0.7604,21.5206,727.391,47.2297,52.7703,0.2765,0.0466,1.1131,0.0883,12.6089,-1,0,0
27,600177,雅戈尔,0.19,0.57,8.65,204713.03,37.91,48.4036,5399.2747,1.5075,23.7931,7.5652,0.243,740.7407,0.1935,930.2326,-37.7029,-35.9499,2.8687,2.1068,-56.4885,2.9164,1.194,0.7352,35.0975,527.5972,35.7843,64.2157,0.4222,0.0346,1.1146,0.054000000000000006,9.3278,1,0,0
28,600188,兖州煤业,0.08,0.65,7.1,318914.4,3.95,12.2345,80624.244,16.4136,32.9899,5.4562,22.049,8.1636,1.7373,103.609,227.2723,539.0669,31.4631,13.1431,438.8382,24.3649,0.9393,0.8694,48.9174,469.0696,38.2759,61.7241,0.0329,0.0168,0.7264,0.0272,4.9184,1,0,0
29,600196,复星医药,0.25,0.7,7.46,168905.97,20.22,57.2383,8353.0226,3.3477,3.6802,48.9104,1.9645,91.6264,0.6459999999999999,278.6378,20.410999999999998,10.1791,25.9027,23.6661,7.6923,29.8408,1.4826,1.2895,92.7449,968.0257,54.271,45.729,0.1321,0.0218,0.5728,0.0477,10.8364,-1,0,0
30,600208,新湖中宝,0.13,0.06,1.62,47477.6,11.6,13.6824,4090.9046,0.4757,48.0032,3.7498,0.0647,2782.0711,0.0492,3658.5366,-1.1892,135.7057,37.6241,29.2415,61.7647,38.4919,2.0495,0.7102,47.6724,201.7575,24.2341,75.7659,0.8448,0.0277,7.085,0.0365,8.0492,0,0,0
31,600219,南山铝业,0.16,0.08,2.32,74153.78,9.81,22.4075,7553.7579,0.8165,4.7384,37.9875,1.479,121.7039,0.6247,288.1383,22.0356,175.2696,30.7969,26.441999999999997,-11.1111,33.0235,1.6232,1.1169,62.943000000000005,1302.4618,76.3505,23.6495,0.0685,0.0117,0.6611,0.0494,6.4036,-1,0,0
32,600221,海航控股,0.23,0.07,1.94,114733.3,4.02,13.8143,28526.222,1.6973,15.1732,11.863,203.94799999999998,0.8826,0.7411,242.8822,50.1697,-23.8346,77.7135,40.7605,-50.146,60.463,0.8914,0.8873,74.9208,220.9273,41.1792,58.8208,0.1784,0.0275,3.6717,0.0468,9.5649,0,0,0
33,600233,圆通速递,0.04,0.25,8.1,69277.59,8.43,12.7319,8211.0934,2.9104,43.8707,4.103,208.0413,0.8652,1.3044,137.9945,1994.1812,2571.6828,544.2044,618.3507,459.4533,692.2294,2.3922,2.3777,97.7206,-6910.8182,76.8242,23.1758,0.0375,0.0279,0.444,0.1203,12.2258,-1,0,0
34,600271,航天信息,0.27,0.31,6.11,58117.74,4.29,16.3328,13537.3085,7.2669,7.8218,23.0126,8.6952,20.7011,0.9959,180.74099999999999,24.2665,5.3818,17.2095,22.8162,-6.0606,15.2466,2.8962,2.5835,117.1445,231410.6963,60.3182,39.6818,0.0023,0.0017,0.0328,0.0042,0.5979,1,0,0
35,600276,恒瑞医药,1.24,0.56,11.98,157343.09,24.79,86.5791,6344.5947,2.2523,2.4283,74.1259,1.3142,136.9655,0.5305,339.3025,20.183,20.6853,23.3095,23.5755,-0.1789,23.4327,8.6472,8.1921,324.7445,-4630.6829,90.1142,9.8858,0.2138,0.0862,0.8511,0.872,93.6167,-1,0,0
36,600309,万华化学,0.49,1.79,25.43,486103.79,19.89,38.8206,24430.0865,8.9356,9.9878,18.022000000000002,2.8043,64.1871,1.3989,128.6725,95.8203,255.6645,59.7933,19.1642,184.127,67.9604,0.8373,0.5933,9.2372,1740.6449,41.4853,58.5147,0.0593,0.0241,0.2493,0.0413,5.5914,-1,-1,-1
37,600332,白云山,0.21,0.71,6.46,115814.01,10.41,37.4248,11115.3385,6.8368,9.7057,18.5458,2.6681,67.4637,0.5593,321.8309,2.3769,37.983000000000004,91.9334,49.9152,10.559000000000001,94.2159,2.6945,2.3705,156.6082,-1546.4164,68.95100000000001,31.049,0.0778,0.0324,0.7263,0.1043,11.5211,0,0,0
38,600340,华夏幸福,0.49,1.82,16.96,536718.31,24.11,57.5249,22258.8948,7.5327,1.632,110.2941,0.0571,3152.3643,0.0853,2110.1993,26.4363,40.2851,66.4361,49.5645,33.8235,64.3504,1.4918,0.572,32.9831,2201.3396,17.1367,82.8633,-0.1918,-0.0132,-0.7894,-0.0159,-2.1333,0,0,0
39,600346,恒力股份,0.11,0.2,9.37,56229.37,5.16,13.2321,10891.6899,3.8545,117.4147,1.5330000000000001,4.3905,40.9976,1.1916,151.0574,45.5016,20.0822,21.0528,17.0162,5.2632,17.6942,0.7764,0.5751,19.6319,418.3783,30.4911,69.5089,0.0084,0.0045,0.1634,0.0065,0.7395,-1,0,0
40,600352,浙江龙盛,0.27,0.31,6.28,101316.0,13.48,37.1031,7514.9321,2.3099,2.9817,60.3682,0.2698,667.1609,0.2878,625.4343,19.6393,-2.6107,11.7177,25.6099,5.1317,10.3959,2.1726,0.7082,22.491999999999997,1019.0052,42.0744,57.9256,-0.1477,-0.0261,-0.9513,-0.045,-8.8988,1,0,0
41,600362,江西铜业,0.15,0.24,1.77,83021.28,0.84,3.5673,98285.8076,28.3839,7.0311,25.6005,5.9277,30.3659,1.6377,109.9102,8.959,44.1289,1.3733,1.0662,71.4286,1.5268,1.4365,1.0603,39.4526,1052.5035,52.227,47.773,0.0088,0.0092,1.0556,0.0192,1.9619,0,0,0
42,600372,中航电子,0.07,0.08,2.34,14577.4,5.34,31.8131,2728.1696,1.5508,0.47100000000000003,382.1656,0.5959,302.0641,0.2124,847.4576,10.2179,8.4978,6.3682,8.1417,14.0303,5.7846,1.352,1.0022,18.9309,292.4151,34.7915,65.2085,-0.2413,-0.0357,-4.4356,-0.0548,-6.7228,0,0,0
43,600383,金地集团,0.23,0.26,3.11,115229.51,9.16,30.9836,12568.4355,2.7845,192.0196,0.9374,0.1171,1537.1477,0.0952,1890.7563,-10.2388,31.3233,11.6554,16.8471,52.9412,12.7456,1.6364,0.7382,23.8999,-2087.7461,30.3926,69.6074,-0.2399,-0.0177,-1.7797,-0.0255,-3.5441,1,0,0
44,600398,海澜之家,0.16,0.42,18.3,187518.73,20.26,40.1431,9252.6818,2.0594,14.3127,12.5762,0.6502,276.8379,0.5245,343.184,5.5939,5.7857,12.8879,3.7128,7.6923,13.1942,1.4789,0.7269,62.4718,-2618.7873,42.8042,57.1958,0.0572,0.0232,0.2821,0.0406,4.7344,0,0,0
45,600415,小商品城,0.1,0.19,9.72,103527.88,13.61,28.2136,7602.0051,1.3966,77.9469,2.3093,0.8048,223.6581,0.7789,231.0951,76.9533,82.5528,10.9157,-6.9375,90.0,11.7623,0.7988,0.335,12.1643,1403.8372,46.8149,53.1851,0.015,0.0048,0.1113,0.009000000000000001,1.1288,0,0,0
46,600436,片仔癀,0.28,0.72,11.68,43319.89,24.71,44.0968,1752.8313,2.9053,4.6203,38.9585,0.8468,212.565,0.5134,350.6038,82.5043,36.8502,17.5983,17.4591,41.1765,16.9342,3.7659,2.4558,179.7457,-29033.8968,80.2993,19.7007,0.254,0.0891,1.0526,0.4523,49.0772,0,0,0
47,600438,通威股份,0.17,0.2,6.56,79162.24,7.13,18.8084,11101.5823,2.8594,17.0854,10.5353,4.7716,37.7232,1.3261,135.7364,59.4805,254.0512,88.5115,77.4155,81.7291,87.2039,0.9,0.6581,15.5436,1264.0781,51.0692,48.9308,0.0702,0.0321,0.9674,0.0657,7.8671,-1,-1,-1
48,600482,中国动力,0.16,0.32,2.2,56071.97,4.81,15.4735,11641.025,6.6933,2.0066,89.704,1.5409,116.8148,0.3682,488.8647,23.186,22.0899,5.8161,3.4577,-11.1111,2.6502,2.589,2.0822,133.2052,2187.8014,64.0615,35.9385,-0.0615,-0.0167,-1.1835,-0.0466,-5.7424,0,0,0
49,600487,亨通光电,0.24,0.62,12.41,76742.02,6.72,19.9843,11413.1466,9.1947,2.2926,78.5135,1.902,94.6372,0.7751,232.2281,41.8084,68.8956,26.0224,33.6266,100.6494,27.0924,1.2057,0.7787,15.0633,678.6224,30.892,69.108,-0.0658,-0.0325,-0.8926,-0.047,-5.6539,-1,-1,0
50,600489,中金黄金,0.16,0.06,1.59,21238.88,1.33,11.4579,15951.3412,4.622,95.8052,1.8788,1.3988,128.6817,1.0081,178.5537,19.5991,26.9075,2.1617,2.6442,0.0,1.7017,0.9251,0.3336,22.6045,244.2009,38.5025,61.4975,0.0736,0.0292,3.4929,0.0475,6.5593,0,0,0
51,600516,方大炭素,0.19,0.24,6.83,41185.41,22.71,46.6082,1813.4324,1.0548,1.9596,91.8555,1.0478,171.7885,0.3309,543.971,69.2319,15607.1412,7.3135,2.9819999999999998,2654.0229999999997,7.4323,3.0612,2.5772,118.7721,8607.177,74.8632,25.1368,0.4143,0.0869,1.6759,0.3457,40.1326,-1,-1,-1
52,600518,康美药业,0.29,0.44,7.9,215154.49,16.22,29.7123,13262.3647,2.681,3.7981,47.3921,0.6931,259.7028,0.2848,632.0225,18.377,21.8822,8.5378,24.1516,8.9776,8.4752,1.8359999999999999,1.2973,108.0663,729.1633,50.5573,49.4427,0.0803,0.0179,0.4963,0.0362,4.0171,0,0,0
