,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_1,label3_2,label3_3
1,600004,白云机场,0.11,0.82,12.24,159578.46,23.6,40.5627,6761.5509,3.2675,8.4831,42.4373,53.2643,6.7587,2.1788,165.2286,9.6465,15.0367,38.8553,26.9174,-32.2314,39.3753,0.7642,0.7495,52.7136,5700.8763,67.0519,32.9481,0.3184,0.0956,1.3446,0.2902,40.0063,1,0,0
2,600009,上海机场,0.52,1.91,15.53,368340.85,45.68,49.8173,8062.379,4.1839,7.2698,49.5199,206.5259,1.7431,0.7569,475.6243,15.9808,30.0643,12.6264,2.2408,30.8219,12.7174,4.8977,4.8886,425.8391,-3896.3981,92.4979,7.5021,0.5103,0.1493,1.0666,1.9907,199.8993,-1,0,0
3,600010,包钢股份,0.29,0.05,4.27,206125.55,3.83,15.5156,53683.7313,1.1776,23.129,15.5649,2.6474,135.9825,1.4458,248.9971,73.016,2309.0349,4.4179,3.6784,1638.4615,4.4496,0.4657,0.2479,13.1255,268.4028,33.7809,66.2191,0.1365,0.05,3.5735,0.0755,8.2457,1,0,0
4,600011,华能国际,0.35,0.11,2.47,179315.1,1.17,11.3146,152459.44400000002,10.0299,8.5178,42.2644,18.9574,18.9899,3.5661,100.9506,33.9546,-80.09899999999999,-4.7148,22.3892,-81.0345,-7.3455,0.3112,0.2639,6.5039,139.5508,24.3478,75.6522,0.1915,0.0771,13.6019,0.1019,18.7222,-1,0,0
7,600018,上港集团,0.18,0.5,17.92,1153619.16,30.82,33.7089,37423.9462,1.6149,14.5807,24.6902,1.6164,222.7171,1.0113,355.9775,19.3397,58.8349,12.9225,20.9361,66.2659,14.4268,1.3199,0.6769,54.2108,1657.9009,54.5591,45.4409,0.2568,0.068,0.7481,0.1498,25.2357,0,0,0
8,600019,宝钢股份,0.62,0.86,12.24,1917033.76,6.63,14.0674,289092.9003,13.0803,25.704,14.0056,6.6011,54.5364,2.4551,146.6335,55.88,121.6456,32.7582,30.693,56.3636,35.5965,0.8167,0.5748,11.2773,813.12,49.8159,50.1841,0.1144,0.0944,1.6212,0.1882,20.2671,1,1,1
9,600023,浙能电力,0.21,0.32,7.24,433446.05,8.46,11.7354,51190.7549,3.7638,9.6576,37.2763,17.6866,20.3544,2.1218,169.6673,30.6666,-34.0764,3.7557,6.6582,-30.4348,4.2924,1.2819,1.1326,70.389,624.6358,60.9463,39.0537,0.1951,0.0885,2.1048,0.2265,54.6036,0,0,0
10,600027,华电国际,0.17,0.04,1.02,43012.7,0.54,10.5434,79006.836,8.0104,10.368,34.7222,25.203000000000003,14.284,3.4267,105.0573,24.7226,-83.2265,-1.7951,2.9349,-87.0206,-2.019,0.3119,0.2762,9.5123,125.7284,25.625,74.375,0.1619,0.0591,16.4827,0.0795,15.9233,0,0,0
11,600028,中国石化,0.67,0.42,7.14,5111900.0,2.16,19.9049,2360193.0,19.4942,39.7396,9.059,11.0162,32.6791,5.0147,71.7889,22.2321,18.8001,2.5879,6.4657,10.1828,2.1077,0.9129999999999999,0.5908,28.4762,5649.5513,53.5298,46.4702,0.0809,0.1197,2.7162,0.2575,32.9513,1,0,0
12,600029,南方航空,0.24,0.6,12.84,591400.0,4.63,12.3948,127489.0,12.6374,44.8826,8.0209,69.5869,5.1734,8.0567,44.6833,11.0609,16.0496,13.6305,8.9135,17.6471,14.8514,0.257,0.2337,10.4201,884.835,28.4731,71.5269,0.1679,0.098,3.1324,0.1371,30.763,1,1,0
