,code,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,"label3_('000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81])"
23,603259,0.31,4.51,29065.76,13.57,39.1019,2141.7644,2.2838,1.2981,69.3321,1.7406,51.7063,0.4009,224.4949,21.1275,-15.4797,9.3707,21.9828,-13.8889,11.9885,1.238,1.0549,41.1149,364.5817,55.6034,44.3966,-0.0148,-0.0025,-0.1042,-0.0056,-0.7521,1
25,600175,0.01,0.45,4821.69,3.72,16.5776,1294.1393,0.3618,1.6198,55.5624,0.8666,103.8541,0.2102,428.1637,17.8099,49.6706,-2.3983,-10.604000000000001,42.1053,-2.2757,1.141,0.9038,41.1727,234.4269,67.2571,32.7429,-0.8667,-0.0668,-23.316,-0.2041,-22.3119,0
28,603696,0.09,1.51,1093.46,15.47,31.3332,70.6552,0.5887,5.401,16.6636,1.3366,67.335,0.1345,669.145,22.8651,10.057,3.0426,4.0564,12.5,3.0426,16.0961,15.017,817.4575,-1873.8232,95.7239,4.2761,-2.2393,-0.2077,-14.4698,-4.8581,-485.8107,-1
29,002124,0.04,1.06,3217.88,3.81,19.044,843.3003,1.0908,14.2872,6.2993,0.6285,143.1981,0.4494,200.267,51.0363,-39.8089,4.526,19.3332,-50.0,4.6856,0.9979,0.4309,29.5824,639.6845,59.5484,40.4516,0.0018,0.0003,0.0477,0.0007,0.07200000000000001,-1
30,600197,0.27,5.42,12062.31,23.29,50.058,517.844,1.1742,34.8793,2.5803,0.3321,271.0027,0.2018,445.9861,8.6257,8.4451,15.2228,23.64,8.4027,12.5432,3.18,2.2427,188.0588,-5714.2276,73.5684,26.4316,0.3297,0.0533,1.4141,0.2016,20.5617,1
32,002140,0.06,1.33,2607.22,6.44,19.2872,404.2876,0.9064,0.6295,142.9706,0.2929,307.2721,0.0827,1088.2709,31.0448,25.1491,-3.4062,1.8983,25.5365,-3.9589999999999996,1.359,1.0456,36.9404,1386.3334,32.8883,67.1117,-1.0626,-0.0704,-16.5076,-0.1049,-12.1528,0
33,603223,0.18,3.12,2176.98,2.0,5.9537,1085.9222,7.5411,11.9166,7.5525,39.8521,2.2584,1.556,57.8406,54.6266,41.6326,65.9047,76.5407,38.4615,67.5517,1.8914,1.8597,107.3966,1749.5265,69.5564,30.4436,-0.0053,-0.0034,-0.1993,-0.0113,-1.2059,-1
34,002156,0.03,0.62,3662.66,2.23,17.7826,1640.5181,1.4219,1.0509,85.6409,1.32,68.1818,0.3697,243.4406,13.4719,-38.5968,0.8748,11.6124,-25.0,49.4396,1.2076,0.9168,41.0331,166.6923,50.3032,49.6968,0.0503,0.0066,2.1368,0.0134,2.2448,0
36,600628,0.2,2.87,12656.92,17.46,32.2909,724.6047,1.1201,3.846,23.4009,3.0273,29.7295,0.2886,311.8503,-4.587,-53.1191,5.1548,4.4546,-52.381,5.1591,1.9321,1.8095,164.2203,2991.6485,75.5792,24.4208,0.19399999999999998,0.0238,1.1092,0.0973,10.6413,0
37,000796,0.03,1.37,2788.66,1.55,17.9744,1798.5279,2.2397,1.6644,54.0735,109.2609,0.8237,0.3968,226.8145,11.0124,9.0054,6.7493,17.3451,20.0692,8.3612,1.5382,1.5327,78.8907,399.4547,36.7942,63.2058,-0.0769,-0.0227,-3.6501,-0.0359,-4.6883,0
39,603309,0.03,0.69,616.11,4.74,33.0258,129.83700000000002,0.6491,1.7987,50.0361,1.0304,87.3447,0.2287,393.5286,11.868,-69.8747,3.5209,3.3375,-57.1429,2.9652,6.235,5.1892,108.6188,265.122,90.4077,9.5923,-0.1018,-0.0132,-3.1078,-0.1372,-14.775,-1
40,600647,0.03,1.24,415.55,28.06,66.2177,14.8066,0.1064,6.5511,13.7382,0.0739,1217.862,0.0376,2393.617,6.0736,-11.5332,-9.277000000000001,-9.4914,-66.4798,-11.2821,2.736,2.3663,116.2239,-2633.4614,67.4429,32.5571,0.17300000000000001,0.0047,0.3836,0.0143,1.4358,0
43,600272,0.03,1.6,802.33,3.26,25.6355,246.0721,1.0126,2.0373,44.1761,1.4317,62.8623,0.4803,187.3829,-5.8733,49.1177,4.2091,0.263,50.0,4.2134,1.8354,1.4251,57.3928,218.6718,50.385,49.615,-0.0271,-0.0066,-0.8269,-0.0133,-2.4568,0
44,000837,0.01,0.15,421.88,0.59,19.2937,713.3176,1.0287,0.9177,98.0713,0.3083,291.9235,0.1304,690.184,-3.8489,4.4102,2.3203,16.174,-12.8571,0.469,1.3888,0.9087,31.9731,183.0953,39.2916,60.7084,-0.1945,-0.0152,-12.2625,-0.025,-3.5109,0
46,600290,0.01,0.11,443.06,2.21,30.9074,200.0727,0.2632,0.0842,1068.8836,0.2347,383.4683,0.0376,2393.617,4.8113,21.3763,1.3926,11.1152,205.2632,1.4102,1.8129,1.6053,24.5639,193.4651,57.1993,42.8007,-0.2584,-0.006999999999999999,-13.4675,-0.0164,-1.788,0
47,600685,0.02,0.22,2423.71,0.81,2.1271,2961.7018,2.0952,1.8383,48.9583,0.2787,322.9279,0.1025,878.0488,-27.4272,398.6921,61.7194,-3.0474,31.5385,12.267000000000001,1.5681,0.9871,54.7933,195.2646,39.6241,60.3759,-0.6279,-0.0437,-19.3324,-0.0724,-10.3279,-1
48,002220,0.01,0.28,768.35,3.24,18.1358,236.7803,0.4324,0.1906,472.1931,0.6726,133.8091,0.0881,1021.5664,-9.0557,-66.2842,2.9725,-2.2241,-75.0,2.9749,3.9743,3.4772,29.6955,130.4548,53.9661,46.0339,0.1256,0.0058,3.8597,0.0126,4.3626,-1
49,600327,0.22,4.3,12360.3,5.03,15.4666,2457.2498,4.3325,17.3444,5.189,2.3535,38.2409,1.0188,88.3392,9.1523,22.0792,-2.7521,-3.3409,23.8636,-2.6553,1.348,0.8147,54.451,2400.3155,59.1142,40.8858,0.0283,0.0136,0.5065,0.0333,3.924,-1
50,000915,0.32,4.79,7393.19,16.19,73.3532,456.4908,1.9480000000000002,1.9705,45.6737,1.0984,81.9374,0.3135,287.0813,1.8245,-18.2489,11.0352,14.0553,-33.3333,16.0548,2.9417,2.7206,131.2964,12226.6441,82.4785,17.5215,0.1992,0.032,0.677,0.1824,18.5481,0
52,603533,0.09,3.55,3572.73,7.65,30.5135,466.6185,1.1636,2.5061,35.9124,14.6951,6.1245,0.36200000000000004,248.6188,23.2529,0.0004,33.529,39.3935,-10.0,33.5482,3.1889999999999996,3.1318,246.5562,-748.4742,71.0518,28.9482,0.0161,0.0052,0.21100000000000002,0.0181,1.8096,-1
