,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,"label3_('300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02], '300498', [21.59, 21.89, 22.1, 21.54, 21.44, 21.62, 21.2, 21.04, 20.64, 20.8, 21.01, 21.16, 21.4, 21.25, 21.24, 20.93, 20.67, 20.73, 20.61, 21.25, 21.38, 21.5, 21.39, 21.51, 21.55, 22.0, 22.86, 23.2, 23.38, 23.99, 23.84, 23.77, 24.42, 23.73, 23.87, 24.33, 24.38, 23.95, 23.78, 24.0, 23.97, 23.56, 24.24, 24.52, 24.35, 23.39, 22.86, 23.23, 23.26, 22.86, 22.85, 22.68, 21.8, 21.45, 21.68, 21.22, 21.11, 21.26, 21.4, 22.02])"
0,600009,上海机场,0.65,0.53,3.97,101791.21,44.63,50.684,2280.7468,1.1835,1.6601,54.2136,55.585,1.6191,0.2316,388.601,20.3458,27.6525,13.1578,2.5104,29.2683,13.2624,5.3215,5.3095,440.5376,-2857.4311,93.5951,6.4049,0.2191,0.0176,0.47200000000000003,0.2752,27.6473,0
1,600010,包钢股份,0.25,0.01,1.27,63691.46,4.9,18.3208,12986.7994,0.2848,4.0468,22.2398,0.5165,174.2498,0.3127,287.8158,22.1764,223.5009,5.3317,2.9366,127.8689,5.3744,0.4802,0.2299,9.6537,221.6484,34.2403,65.7597,0.1031,0.0091,2.1059,0.0139,1.5432,-1
2,600011,华能国际,0.22,0.08,1.6,121896.81,2.81,13.4855,43255.6346,2.8456,2.0021,44.9528,4.7681,18.8754,0.8305,108.3685,15.1118,78.1563,1.3725,1.8771,100.0,3.8958,0.3702,0.3149,11.1651,195.7422,24.6598,75.3402,0.2164,0.0245,5.4178,0.0325,6.2292,0
3,600018,上港集团,0.18,0.07,2.35,165097.41,19.1,29.5222,8643.7833,0.373,3.3629,26.7626,0.2426,370.981,0.1699,529.7234,8.1484,31.4156,10.6985,19.9449,44.4219,12.0713,1.5779,0.7891,54.177,816.1943,55.2639,44.7361,0.0069,0.0004,0.0313,0.0009,0.1818,0
4,600019,宝钢股份,0.47,0.23,3.01,502053.56,7.44,16.3478,67453.7192,3.0291,4.939,18.2223,1.3339,67.4713,0.498,180.7229,-20.6521,32.8144,9.2889,-4.1835,35.2941,10.1368,0.8590000000000001,0.5773,13.3482,2969.4429999999998,50.8381,49.1619,0.0532,0.0102,0.6488,0.0207,2.2422,0
6,600027,华电国际,0.1,0.07,1.63,68732.1,3.05,12.001,22471.787999999997,2.2783,2.4897,36.1489,7.6522,11.7613,0.8919,100.9082,17.5977,859.9561,0.188,5.1741,6900.0,-0.4312,0.3468,0.3154,11.2822,180.6061,26.0546,73.9454,0.2388,0.0248,6.7504,0.0336,7.3451,0
7,600028,中国石化,0.59,0.16,2.55,1877000.0,3.02,19.3115,621251.0,5.1312,9.7476,9.232999999999999,2.6522,33.9341,1.183,76.0778,6.7102,13.0932,2.7775,6.3296,13.1387,2.358,0.9839,0.6228,32.7775,7026.3736,55.7902,44.2098,0.0194,0.0077,0.4915,0.0173,2.275,0
8,600029,南方航空,0.21,0.25,4.97,254400.0,7.46,14.4659,34101.0,3.3802,11.2973,7.9665,17.3671,5.1822,1.9418,46.3487,10.1133,55.5435,16.1787,8.8527,56.25,18.1607,0.2452,0.2205,8.9461,-523.4114,29.9216,70.0784,0.1324,0.0205,1.5779,0.0293,6.4239999999999995,0
11,600048,保利地产,0.74,0.16,1.75,189636.95,9.42,39.7933,20125.237,1.6971,9.8997,9.0912,0.0266,3383.4586,0.0297,3030.303,12.4079,12.8841,35.6553,48.4513,0.0,19.8347,1.8464,0.6187,18.8276,501.8041,21.5527,78.4473,-1.3054,-0.0345,-9.2309,-0.044000000000000004,-6.8275,0
12,600050,中国联通,0.46,0.04,0.95,130205.92,1.73,26.4479,74935.0586,2.4785,3.5511,25.3443,21.8162,4.1254,0.8794,102.3425,8.5934,260.9188,33.9372,-4.6373,233.3333,75.6653,0.3967,0.3848,21.0225,1721.7345,54.11,45.89,0.3397,0.0443,8.5284,0.0965,10.7848,0
13,600061,国投资本,0.19,0.12,1.37,50116.97,178.58,3.069,280.6405,0.0663,0.6209,144.9509,1.4609999999999999,61.6016,0.0022,40909.0909,28.9366,-10.0513,35.1614,12.6917,-20.0,38.6999,1.3827,1.381,39.2137,1346.4079,24.4831,75.5169,-44.5988,-0.0769,-21.9388,-0.1018,-12.6352,-1
14,600066,宇通客车,0.14,0.13,1.88,29469.61,6.32,22.6934,4659.1505,2.1044,0.2718,331.1258,1.1656,77.2135,0.1714,525.0875,20.4395,-8.9632,13.5464,21.0726,-7.1429,13.6302,1.6173,1.4307,21.0467,534.691,44.6991,55.3009,-0.4843,-0.0634,-7.5715,-0.1147,-13.5525,0
15,600085,同仁堂,0.13,0.23,3.7,31686.38,8.64,48.1419,3664.3988,2.6718,2.5865,34.7961,0.3227,278.8968,0.2446,367.9477,-0.0877,7.4493,8.3711,9.939,7.9439,7.5287,3.2904,2.0269,131.8757,25512.5405,70.4227,29.5773,0.1245,0.0236,0.8479,0.0798,9.8307,0
16,600089,特变电工,0.22,0.13,1.7,50129.35,6.26,23.1472,8006.6543,2.1555,0.6585,136.6743,0.5441,165.4108,0.1646,546.7801,-1.97,-12.9834,22.8398,11.7263,-28.8127,25.3387,1.3171,1.0115,41.5954,377.7828,39.5839,60.4161,-0.4739,-0.0434,-5.5237,-0.0718,-9.964,0
18,600104,上汽集团,0.72,0.83,4.22,970667.97,4.13,13.069,234852.5098,20.1012,5.9556,15.1118,4.0128,22.4282,0.5802,155.1189,21.5792,21.8105,8.8306,18.8498,15.2566,8.7388,1.0459,0.917,46.101000000000006,4184.852,38.2577,61.7423,-0.0663,-0.0209,-1.1087,-0.0338,-3.8806,0
20,600115,东方航空,0.2,0.14,3.64,198300.0,7.41,11.9239,26753.0,1.8491,15.2049,5.9191,10.7815,8.3476,1.5531,57.9486,9.0357,-27.680999999999997,10.6732,8.3303,-29.6201,10.5008,0.2339,0.2022,4.2799,-494.8387,25.9241,74.0759,0.2383,0.027999999999999997,2.9546,0.0378,9.2284,0
21,600118,中国卫星,0.11,0.05,1.15,6007.32,4.71,14.6337,1273.9265,1.0773,0.461,195.2278,0.8371,107.514,0.1713,525.394,13.6269,10.238999999999999,9.016,-8.9847,0.0,6.2092,2.1368,1.7217,66.781,-776.3456,62.7726,37.2274,-0.1364,-0.0171,-2.5693,-0.0458,-4.8296,0
22,600153,建发股份,0.1,0.2,2.43,58117.61,1.19,4.9782,48632.4612,17.153,11.2715,7.9847,0.4624,194.6367,0.2954,304.6716,24.7367,33.4861,32.9751,38.0672,33.3333,10.3624,1.6217,0.5973,19.0171,791.7235,21.6315,78.3685,-0.3419,-0.0806,-25.1699,-0.1028,-15.0221,0
23,600170,上海建工,0.14,0.06,2.08,53283.43,1.71,11.552999999999999,31075.3789,3.4898,1.811,49.6963,0.3505,256.776,0.19899999999999998,452.2613,16.4672,32.3761,12.0623,13.7616,-14.2857,9.7586,1.2592,0.5832,35.084,346.6456,16.2027,83.7973,-0.4437,-0.0724,-20.3729,-0.0863,-11.4107,0
