,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,"label3_('300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18])"
0,600004,白云机场,0.12,0.55,7.36,112917.1,14.57,29.7481,7746.8179,3.7436,7.7887,46.2208,77.4748,4.6467,1.9608,183.5985,14.5716,-27.4359,4.2552,20.1843,-32.9268,4.0618,0.3877,0.3815,23.3683,1078.2557,58.1649,41.8351,0.4027,0.1153,2.6846,0.2755,31.9208,0
1,600009,上海机场,0.49,2.2,15.85,423143.2,45.43,51.6881,9313.1147,4.833,7.4412,48.3793,232.7684,1.5466,0.8991,400.4004,15.5132,14.884,12.3769,12.2746,15.1832,12.3897,4.6515,4.6428,383.3223,-2802.2053,92.5822,7.4178,0.4797,0.1444,1.0082,1.9473,195.3678,0
2,600010,包钢股份,0.21,0.07,6.5,332376.18,4.94,15.7213,67187.5606,1.4738,21.7984,16.515,2.8192,127.6958,1.5582,231.0358,25.1544,62.3461,6.3241,1.4718,61.5044,6.3502,0.5614,0.3009,14.6544,269.3863,35.3963,64.6037,0.1064,0.048,2.1471,0.0744,8.9498,0
3,600011,华能国际,0.18,0.07,1.88,143888.14,0.84,11.3044,169861.1648,10.8204,7.3067,49.2698,17.7989,20.226,3.0789999999999997,116.9211,11.414000000000001,12.1513,10.3928,6.535,-36.3636,10.1959,0.4472,0.3781,12.4871,132.82,25.2295,74.7705,0.1701,0.0716,12.0012,0.0958,20.9049,0
6,600018,上港集团,0.18,0.44,14.21,1027634.25,27.01,31.7433,38042.5446,1.6416,14.683,24.5182,1.4281,252.0832,0.7755,464.2166,1.6529,-10.6986,6.8701,2.2177,-10.9281,8.7266,1.5104,1.1353,94.7226,1284.6765,57.0423,42.9577,0.1501,0.0396,0.4977,0.0921,18.0265,0
7,600023,浙能电力,0.11,0.3,6.64,403571.0,7.12,9.4867,56633.6365,4.164,10.1456,35.4834,17.0601,21.1019,2.4143,149.1115,10.6325,-8.7775,0.5151,-2.8233,-6.25,0.6866,1.4296,1.2299,71.8087,497.0951,63.04,36.96,0.1196,0.0618,1.5651,0.1671,41.2629,0
8,600025,华能水电,0.05,0.32,13.87,580273.1,37.39,50.9179,15516.479,0.862,7.0639,50.9633,269.2738,1.3369,1.7478,205.9732,20.7736,155.1885,11.6546,0.2292,128.5714,12.2701,0.1971,0.1965,3.6054,269.2521,27.1912,72.8088,0.7039,0.0649,1.8052,0.0891,25.2481,0
9,600027,华电国际,0.09,0.16,3.65,169539.5,1.91,12.3524,88365.069,8.9592,9.4504,38.0936,24.5384,14.6709,3.485,103.2999,11.8448,192.7869,20.1693,4.0444,256.8182,24.5986,0.3397,0.2941,8.9187,159.2985,29.5964,70.4036,0.2015,0.0791,7.8379,0.1124,23.5735,0
10,600028,中国石化,0.49,0.52,8.67,6308900.0,2.18,16.9539,2891179.0,23.8799,46.0793,7.8126,12.9338,27.834,5.5967,64.3236,22.4976,14.2189,0.4202,-0.2003,23.4597,-1.2223,0.8921,0.5655,29.5551,-9940.1598,53.8626,46.1374,0.0608,0.1104,2.1904,0.2394,31.1217,0
11,600029,南方航空,0.21,0.28,5.51,298300.0,2.07,10.450999999999999,143623.0,11.7079,51.3031,7.0171,77.4544,4.6479,6.8464,52.5824,12.6552,-49.4219,25.7669,12.974,-53.3333,31.0703,0.2876,0.2673,8.7325,187.8426,31.6973,68.3027,0.1364,0.0794,5.667000000000001,0.1163,23.4027,0
13,600031,三一重工,0.7,0.79,21.45,611628.8,10.95,30.6218,55821.504,7.1559,2.8999,124.1422,4.0265,89.4077,1.2672,284.0909,45.6147,183.0376,23.2393,26.6787,189.3158,23.4818,1.5293,1.1876,36.0045,5666.1794,44.0559,55.9441,0.1886,0.1427,1.67,0.2551,31.0204,0
16,600038,中直股份,0.1,0.87,6.83,51033.06,3.9,13.9318,13065.5136,22.1645,6.9803,51.5737,0.8584,419.3849,0.6581,547.0293,8.4445,12.0705,6.6322,6.8163,12.0647,6.9076,1.3563,0.4823,27.5887,-4495.7484,33.3586,66.6414,0.0731,0.0397,1.8706,0.0596,6.2439,0
17,600048,保利地产,0.81,1.59,16.63,1890371.53,9.71,32.4784,194513.8425,16.3525,100.7618,3.5728,0.2875,1252.1739,0.2754,1307.1895,32.9498,32.8905,17.8556,21.5438,20.4545,13.9678,1.7228,0.6563,25.4961,1484.3382,22.0314,77.9686,0.0611,0.0141,0.4548,0.018000000000000002,2.6733,0
18,600050,中国联通,0.39,0.13,2.86,408077.17,1.4,26.5718,290876.7769,9.3747,16.0034,22.4952,92.3236,3.8993,3.8099,94.4907,5.8392,452.3097,3.2317,-5.5534,602.6596,3.5091,0.3551,0.344,15.8018,-8664.2482,58.5017,41.4983,0.326,0.175,10.196,0.4218,44.3557,0
19,600061,国投资本,0.18,0.4,4.62,167945.94,71.03,0.9585,2364.3082,0.5593,4.9823,72.2558,14.6425,24.586,0.0198,18181.8182,235.4893,-33.1114,1.0452,9.1676,-41.1765,0.247,1.3395,1.3381,35.3423,1169.7774,25.6016,74.3984,-5.8896,-0.0896,-6.8757,-0.1204,-15.6433,1
20,600066,宇通客车,0.16,1.01,14.3,230149.44,7.24,25.3254,31745.8446,14.339,1.8318,196.528,6.8643,52.4453,1.1461,314.1087,-4.4432,-26.4996,7.371,1.7519999999999998,-28.3688,7.3625,1.5734,1.3578,16.4593,884.3469,45.5343,54.4657,0.0812,0.0701,1.1071,0.1286,14.5023,0
21,600068,葛洲坝,0.13,0.89,15.65,465770.63,4.62,16.3313,100625.6698,21.8524,6.3373,56.8065,1.4477,248.6703,0.7956,452.4887,-5.7875,1.9224,7.8076,16.7371,-0.5605,4.3193,1.1001,0.6577,17.4794,411.2525,25.2439,74.7561,0.0127,0.0059,0.2144,0.0078,1.0832,0
22,600089,特变电工,0.18,0.49,6.38,204790.92,5.16,19.665,39655.5278,10.6758,3.4873,103.2317,2.9935,120.2606,0.8175,440.36699999999996,3.5901,-4.0824,14.5883,10.762,-19.8005,11.1569,1.3256,1.0517,57.3934,592.5911,42.1004,57.8996,0.0651,0.0279,1.0184,0.0481,6.86,0
24,600104,上汽集团,0.59,3.08,15.67,3600921.06,4.05,13.2534,887626.2073,75.9728,23.7341,15.168,14.1302,25.4773,2.1051,171.0133,3.4556,2.7349,4.6358,8.1871,4.1568,4.0088,1.0943,0.9520000000000001,46.4019,27906.2843,36.3734,63.6266,0.0101,0.0115,0.1854,0.018000000000000002,2.1663,0
