date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-02-25,41.28,43.7,43.7,41.28,65713.78,3.95,9.94,39.358,38.043,36.194,39046.02,37478.28,35915.38
2019-02-26,43.3,44.37,41.8,41.49,61524.58,-1.9,-4.35,40.166,38.751,36.54,45608.02,40692.93,37232.35
2019-02-27,42.17,42.17,39.56,39.43,68469.1,-2.24,-5.36,40.488,39.105,36.79,54517.92,43297.8,39774.19
2019-02-28,39.96,40.98,40.84,39.5,55584.79,1.28,3.24,41.13,39.424,37.102,58749.2,43222.81,41566.98
2019-03-01,41.39,42.5,41.75,40.51,42298.12,0.91,2.23,41.53,39.884,37.496,58718.07,44987.59,41447.29
2019-03-04,41.85,43.79,41.8,41.0,68567.44,0.05,0.12,41.15,40.254,37.813,59288.81,49167.41,42399.5
2019-03-05,41.66,42.79,41.2,40.05,81590.84,-0.6,-1.44,41.03,40.598,38.123,63302.06,54455.04,45035.92
2019-03-06,41.2,41.28,40.67,39.88,87743.35,-0.53,-1.29,41.252,40.87,38.467,67156.91,60837.42,48279.4
2019-03-07,40.61,40.65,40.09,39.55,61117.96,-0.58,-1.43,41.102,41.116,38.861,68263.54,63506.37,48198.86
2019-03-08,39.5,42.35,40.76,39.0,86724.07,0.67,1.67,40.904,41.217,39.2,77148.73,67933.4,50624.4
2019-03-11,40.78,44.84,44.84,40.78,81323.55,4.08,10.01,41.512,41.331,39.687,79699.95,69494.38,53486.33
2019-03-12,46.83,49.03,47.69,44.91,145782.2,2.85,6.36,42.81,41.92,40.336,92538.23,77920.14,59306.54
2019-03-13,47.38,49.2,47.77,46.78,115201.96,0.08,0.17,44.23,42.741,40.923,98029.95,82593.43,62945.61
2019-03-14,47.78,48.68,48.02,45.67,53721.66,0.25,0.52,45.816,43.459,41.442,96550.69,82407.12,62814.96
2019-03-15,48.1,48.2,47.0,45.5,61759.28,-1.02,-2.12,47.064,43.984,41.934,91557.73,84353.23,64670.41
2019-03-18,47.0,48.7,48.62,45.96,63588.63,1.62,3.45,47.82,44.666,42.46,88010.75,83855.35,66511.38
2019-03-19,48.5,50.85,50.6,47.79,77809.08,1.98,4.07,48.402,45.606,43.102,74416.12,83477.17,68966.11
2019-03-20,49.9,49.95,47.6,46.1,83872.92,-3.0,-5.93,48.368,46.299,43.585,68150.31,83090.13,71963.77
2019-03-21,46.85,49.8,47.31,46.85,55705.43,-0.29,-0.61,48.226,47.021,44.069,68547.07,82548.88,73027.62
2019-03-22,47.29,47.84,46.95,45.93,36420.21,-0.36,-0.76,48.216,47.64,44.429,63479.25,77518.49,72725.95
2019-03-25,46.25,47.28,45.82,45.4,44904.61,-1.13,-2.41,47.656,47.738,44.535,59742.45,73876.6,71685.49
2019-03-26,46.25,46.6,44.0,43.9,44800.94,-1.82,-3.97,46.336,47.369,44.645,53140.82,63778.47,70849.31
2019-03-27,44.64,45.8,44.77,44.14,40941.58,0.77,1.75,45.77,47.069,44.905,44554.55,56352.43,69472.93
2019-03-28,45.45,45.45,43.65,43.36,30515.31,-1.12,-2.5,45.038,46.632,45.046,39516.53,54031.8,68219.46
2019-03-29,44.11,45.45,44.3,43.6,38830.33,0.65,1.49,44.508,46.362,45.173,39998.55,51738.9,68046.07
2019-04-01,44.47,46.87,46.53,44.47,52670.91,2.23,5.03,44.65,46.153,45.41,41551.81,50647.13,67251.24
2019-04-02,47.59,47.59,45.66,45.28,49718.64,-0.87,-1.87,44.982,45.659,45.633,42535.35,47838.09,65657.63
2019-04-03,45.3,45.6,44.5,43.6,67616.74,-1.16,-2.54,44.928,45.349,45.824,47870.39,46212.47,64651.3
2019-04-04,43.35,45.98,45.06,43.1,60697.26,0.56,1.26,45.21,45.124,46.073,53906.78,46711.65,64630.27
2019-04-08,45.06,45.77,42.4,42.32,79619.89,-2.66,-5.9,44.83,44.669,46.155,62064.69,51031.62,64275.06
2019-04-09,42.48,45.5,44.38,42.22,57564.08,1.98,4.67,44.4,44.525,46.132,63043.32,52297.57,63087.08
2019-04-10,44.55,45.66,43.54,43.06,40563.0,-0.84,-1.89,43.976,44.479,45.924,61212.19,51873.77,57826.12
2019-04-11,43.94,43.94,42.86,42.7,42732.07,-0.68,-1.56,43.648,44.288,45.679,56235.26,52052.82,54202.63
2019-04-12,42.63,42.94,41.9,41.7,39141.62,-0.96,-2.24,43.016,44.113,45.373,51924.13,52915.45,53473.63
2019-04-15,42.65,43.0,41.8,41.34,46940.78,-0.1,-0.24,42.896,43.863,45.113,45388.31,53726.5,52732.7
2019-04-16,41.69,41.8,41.8,40.68,48978.68,0.0,0.0,42.38,43.39,44.772,43671.23,53357.28,52002.2
2019-04-17,41.88,42.85,41.96,41.62,38053.96,0.16,0.38,42.064,43.02,44.34,43169.42,52190.81,50014.45
2019-04-18,41.96,43.07,42.3,41.79,44083.49,0.34,0.81,41.952,42.8,44.075,43439.71,49837.48,48024.98
2019-04-19,42.45,42.45,41.89,41.51,26364.76,-0.41,-0.97,41.95,42.483,43.804,40884.33,46404.23,46557.94
2019-04-22,42.08,43.74,43.15,41.59,53956.92,1.26,3.01,42.22,42.558,43.614,42287.56,43837.94,47434.78
2019-04-23,43.4,44.1,43.6,42.87,36161.4,0.45,1.04,42.58,42.48,43.503,39724.11,41697.67,46997.62
2019-04-24,43.59,43.95,43.71,42.35,31243.65,0.11,0.25,42.93,42.497,43.488,38362.04,40765.73,46319.75
2019-04-25,43.96,43.96,41.7,41.69,40215.8,-2.01,-4.6,42.81,42.381,43.335,37588.51,40514.11,46283.46
2019-04-26,42.0,42.8,41.38,41.0,22809.93,-0.32,-0.77,42.708,42.329,43.221,36877.54,38880.94,45898.2
2019-04-29,41.52,42.34,41.32,40.82,30360.92,-0.06,-0.14,42.342,42.281,43.072,32158.34,37222.95,45474.73
2019-04-30,41.06,42.8,42.4,41.06,21801.33,1.08,2.61,42.102,42.341,42.866,29286.33,34505.22,43931.25
2019-05-06,41.8,41.8,39.88,39.08,34567.19,-2.52,-5.94,41.336,42.133,42.577,29951.03,34156.54,43173.67
2019-05-07,40.34,41.65,41.3,40.03,28309.64,1.42,3.56,41.256,42.033,42.417,27569.8,32579.15,41208.32
2019-05-08,40.48,41.56,40.2,40.06,23369.1,-1.1,-2.66,41.02,41.864,42.174,27681.64,32279.59,39341.91
2019-05-09,40.1,40.73,38.55,37.5,56821.39,-1.65,-4.1,40.466,41.404,41.981,32973.73,32566.04,38201.99
2019-05-10,39.3,41.33,41.15,39.11,53074.81,2.6,6.74,40.216,41.159,41.82,39228.43,34257.38,37977.52
2019-05-13,41.2,41.5,41.48,40.04,33305.31,0.33,0.8,40.536,40.936,41.717,38976.05,34463.54,37614.64
2019-05-14,42.6,42.6,41.3,41.08,30099.18,-0.18,-0.43,40.536,40.896,41.639,39333.96,33451.88,36982.99
2019-05-15,41.09,43.88,43.22,41.09,42507.47,1.92,4.65,41.14,41.08,41.705,43161.63,35421.63,37151.29
2019-05-16,42.8,43.7,43.02,42.68,24532.98,-0.2,-0.46,42.034,41.25,41.766,36703.95,34838.84,36030.9
2019-05-17,43.12,43.4,42.1,41.81,20848.72,-0.92,-2.14,42.224,41.22,41.781,30258.73,34743.58,34624.4
2019-05-20,42.12,42.6,40.84,40.4,35710.22,-1.26,-2.99,42.096,41.316,41.725,30739.71,34857.88,34507.21
2019-05-21,41.0,42.99,41.9,40.87,27665.91,1.06,2.6,42.216,41.376,41.705,30253.06,34793.51,33686.33
2019-05-22,42.42,42.89,42.07,41.6,27589.71,0.17,0.41,41.986,41.563,41.714,27269.51,35215.57,33747.58
2019-05-23,41.5,42.14,41.26,40.62,25068.62,-0.81,-1.93,41.634,41.834,41.619,27376.64,32040.29,32303.16
2019-05-24,41.4,43.09,42.8,41.34,35675.39,1.54,3.73,41.774,41.999,41.579,30341.97,30300.35,32278.86
2019-05-27,42.91,44.0,43.4,42.28,38498.78,0.6,1.4,42.286,42.191,41.564,30899.68,30819.7,32641.62
2019-05-28,44.89,44.9,43.5,42.25,60253.83,0.1,0.23,42.606,42.411,41.654,37417.27,33835.16,33643.52
2019-05-29,43.0,43.05,42.5,42.0,29951.81,-1.0,-2.3,42.692,42.339,41.71,37889.69,32579.6,34000.62
2019-05-30,42.39,42.4,41.5,41.07,28744.58,-1.0,-2.35,42.74,42.187,41.719,38624.88,33000.76,33919.8
2019-05-31,41.73,41.81,41.0,40.61,29974.86,-0.5,-1.21,42.38,42.077,41.649,37484.77,33913.37,34328.48
2019-06-03,40.5,41.31,41.02,39.61,30470.09,0.02,0.05,41.904,42.095,41.706,35879.03,33389.36,34123.62
2019-06-04,40.92,40.98,39.8,39.66,17605.91,-1.22,-2.97,41.164,41.885,41.631,27349.45,32383.36,33588.43
2019-06-05,40.96,40.96,39.75,39.4,26335.73,-0.05,-0.13,40.614,41.653,41.608,26626.23,32257.96,33736.77
2019-06-06,39.73,39.77,38.24,38.19,28093.0,-1.51,-3.8,39.962,41.351,41.593,26495.92,32560.4,32300.35
