date,open,close,high,low,volume
2015-01-21,11.744,12.933,12.933,11.744,942.0
2015-01-22,14.231,14.231,14.231,14.231,222.0
2015-01-23,15.658,15.658,15.658,15.658,274.0
2015-01-26,17.224,17.224,17.224,17.224,571.0
2015-01-27,18.949,18.949,18.949,18.949,1229.0
2015-01-28,20.841,20.841,20.841,20.841,2387.0
2015-01-29,22.923,22.923,22.923,22.923,3077.0
2015-01-30,25.212,25.212,25.212,25.212,3917.0
2015-02-02,27.729,27.729,27.729,27.729,11503.0
2015-02-03,30.504,30.504,30.504,30.504,10625.0
2015-02-04,33.556,33.556,33.556,33.556,5344.0
2015-02-05,36.916,36.916,36.916,36.916,6101.0
2015-02-06,40.612,34.736,40.612,33.279,491104.0
2015-02-09,32.387,31.317,33.973,31.267,263348.0
2015-02-10,31.217,31.951,32.367,29.751,213263.0
2015-02-11,32.357,34.091,35.142,31.297,295043.0
2015-02-12,33.755,33.695,34.339,32.724,213323.0
2015-02-13,33.19,34.954,36.559,32.962,249652.0
2015-02-16,35.38,38.452,38.452,34.389,182239.0
2015-02-17,39.413,36.965,40.533,36.847,259532.0
2015-02-25,35.816,33.269,36.321,33.269,197430.0
2015-02-26,32.516,33.001,33.576,32.288,108297.0
2015-02-27,32.823,33.249,34.091,32.268,112405.0
2015-03-02,32.902,33.755,34.25,32.506,124615.0
2015-03-03,33.13,32.605,33.497,32.456,97748.0
2015-03-04,32.615,33.745,33.893,32.615,107850.0
2015-03-05,33.695,33.517,34.934,33.299,121197.0
2015-03-06,33.249,31.663,33.249,31.317,125346.0
2015-03-09,31.118,31.812,32.09,30.742,58942.0
2015-03-10,31.713,32.704,33.1,31.564,115237.0
2015-03-11,32.585,34.091,34.894,32.308,156249.0
2015-03-12,34.072,33.15,34.686,31.644,93022.0
2015-03-13,32.833,35.647,36.004,32.327,149673.0
2015-03-16,36.163,36.529,39.146,35.578,214892.0
2015-03-17,36.173,36.559,37.332,35.707,107549.0
2015-03-18,36.272,37.491,37.966,35.994,99543.0
2015-03-19,37.174,36.807,37.501,36.282,77666.0
2015-03-20,36.589,36.569,37.838,36.222,92185.0
2015-03-23,36.47,37.857,38.611,36.173,111168.0
2015-03-24,37.857,41.643,41.643,36.321,204014.0
2015-03-25,41.623,41.871,43.794,41.128,163833.0
2015-03-26,40.038,37.689,41.029,37.689,129045.0
2015-03-27,37.659,37.758,38.611,36.866,71667.85
2015-03-30,37.451,36.965,37.62,35.499,116079.0
2015-03-31,36.589,36.728,37.54,36.529,67290.0
2015-04-01,36.728,37.461,38.016,36.569,78492.0
2015-04-02,38.264,38.462,39.423,37.798,78368.0
2015-04-03,37.857,39.324,39.502,37.57,83090.0
2015-04-07,39.909,40.414,41.029,38.749,85877.0
2015-04-08,40.147,39.839,41.623,37.709,91213.0
2015-04-09,39.572,40.484,40.741,37.362,89768.0
2015-04-10,39.75,40.632,41.613,39.225,76689.0
2015-04-13,40.632,44.695,44.695,39.344,135193.0
2015-04-14,45.29,43.09,46.727,42.614,137730.0
2015-04-15,41.722,39.641,42.396,39.641,91241.0
2015-04-16,38.759,39.443,40.999,38.729,59775.0
2015-04-17,39.72,38.729,40.533,38.65,69240.0
2015-04-20,38.531,37.501,38.759,37.164,54357.0
2015-04-21,37.362,39.661,39.998,37.352,62178.0
2015-04-22,39.671,40.137,41.058,39.463,48854.0
2015-04-23,40.137,41.742,42.614,39.294,78946.0
2015-04-24,40.93,41.078,42.495,39.82,64499.0
2015-04-27,41.425,41.841,42.604,40.662,70180.0
2015-04-28,41.623,38.551,42.059,38.155,70652.0
2015-04-29,38.155,40.335,40.513,36.371,53856.0
2015-04-30,40.315,42.02,43.199,39.83,101123.0
2015-05-04,42.813,42.832,46.182,42.763,86524.0
2015-05-05,42.485,47.114,47.114,41.584,173802.0
2015-05-06,47.768,44.795,50.364,44.517,175149.0
2015-05-07,44.299,49.274,49.274,44.299,69395.0
2015-05-08,52.029,54.199,54.199,51.543,18148.0
2015-05-11,59.62,59.62,59.62,59.62,3764.0
2015-05-12,65.586,65.586,65.586,61.156,240228.0
2015-05-13,63.426,65.973,70.859,62.445,179110.0
2015-05-14,64.12,61.791,66.895,61.602,113486.0
2015-05-15,66.845,67.975,67.975,62.435,80392.0
2015-05-18,69.422,74.773,74.773,69.372,165918.0
2015-05-19,74.823,76.983,79.045,67.886,170319.0
2015-05-20,75.318,82.057,84.683,74.535,127757.0
2015-05-21,80.036,80.422,87.012,79.292,98508.0
2015-05-22,79.956,78.638,84.356,74.407,94352.0
2015-05-25,73.336,74.01,78.291,72.345,70481.0
2015-05-26,75.804,81.413,81.413,74.922,79452.0
2015-05-27,84.674,89.559,89.559,77.3,105925.0
2015-05-28,88.202,87.012,98.518,86.239,121285.0
2015-05-29,85.328,87.012,91.67,78.618,99885.0
2015-06-01,87.211,89.034,90.085,84.396,64854.0
2015-06-02,89.985,92.166,97.101,88.202,66726.0
2015-06-03,92.166,97.2,97.597,84.287,91880.0
2015-06-04,97.091,89.688,97.091,87.478,70664.0
2015-06-05,92.047,80.719,92.047,80.719,131045.0
2015-06-08,78.49,73.346,78.579,72.672,75237.0
2015-06-09,73.346,75.388,76.904,71.85,52890.0
2015-06-10,74.327,77.707,79.282,73.336,46508.0
2015-06-11,79.481,77.102,81.096,76.706,55189.0
2015-06-12,75.566,75.774,77.419,73.336,62346.0
2015-06-15,74.545,68.193,75.417,68.193,54949.0
2015-06-16,64.427,64.417,67.687,61.424,63550.0
2015-06-17,64.318,66.756,68.064,61.464,50787.0
2015-06-18,67.132,60.076,67.39,60.076,52664.0
2015-06-19,57.48,54.071,58.134,54.071,63988.0
2015-06-23,54.061,59.482,59.482,50.543,69700.0
2015-06-24,61.275,60.284,63.327,57.876,73129.0
2015-06-25,60.552,54.259,61.226,54.259,61757.0
2015-06-26,51.464,48.838,51.464,48.838,48483.0
2015-06-29,50.047,43.952,50.156,43.952,61185.0
2015-06-30,41.921,46.033,47.163,39.562,90388.0
2015-07-01,44.695,43.457,50.543,42.218,104667.0
2015-07-02,43.407,39.602,45.34,39.166,79078.0
2015-07-03,36.034,36.658,41.673,35.637,85411.0
2015-07-06,40.325,34.091,40.325,32.991,117420.0
2015-07-07,32.387,30.682,32.387,30.682,26883.0
2015-07-08,27.61,27.61,28.264,27.61,156466.0
2015-07-09,25.866,30.375,30.375,25.866,110445.0
2015-07-10,31.713,33.418,33.418,31.366,42113.0
2015-07-13,36.76,36.76,36.76,35.815,20403.0
2015-07-14,39.772,40.439,40.439,38.281,144135.0
2015-07-15,38.778,36.392,39.633,36.392,76149.0
2015-07-16,32.753,35.865,38.331,32.753,110704.0
2015-07-17,35.815,38.629,39.265,35.507,84498.0
2015-07-20,37.933,38.738,40.111,36.988,110819.0
2015-07-21,38.281,40.329,41.761,37.078,101449.0
2015-07-22,40.22,41.174,41.711,38.778,96450.0
2015-07-23,40.667,45.291,45.291,40.449,82636.0
2015-07-24,46.743,46.733,49.825,45.191,162290.0
2015-07-27,44.744,42.059,48.512,42.059,90967.0
2015-07-28,38.46,37.853,42.745,37.853,103707.0
2015-07-29,39.255,40.14,40.27,34.105,125333.0
2015-07-30,38.778,37.515,41.264,37.486,90725.0
2015-07-31,37.287,36.67,38.758,35.596,63230.0
2015-08-03,34.801,33.001,35.567,33.001,70636.0
2015-08-04,33.359,36.302,36.302,32.325,79778.0
2015-08-05,36.541,35.845,37.287,35.248,85270.0
2015-08-06,34.811,34.692,35.805,33.906,43864.0
2015-08-07,35.398,36.959,37.585,35.398,64068.0
2015-08-10,37.297,40.349,40.657,37.068,78222.0
2015-08-11,40.468,43.451,44.247,39.802,120954.0
2015-08-12,41.761,40.568,42.944,40.071,83202.0
2015-08-13,39.474,41.363,41.761,38.778,68117.0
2015-08-14,42.059,40.876,42.258,40.767,64970.0
2015-08-17,39.613,39.723,40.478,38.013,63902.0
2015-08-18,39.733,35.755,40.449,35.755,66403.0
2015-08-19,34.592,36.412,37.108,32.196,78680.0
2015-08-20,35.298,34.204,36.571,33.836,43310.0
2015-08-21,34.174,32.892,35.149,32.524,48975.0
2015-08-24,31.42,29.601,31.42,29.601,37160.0
2015-08-25,26.638,26.638,27.731,26.638,47079.0
2015-08-26,26.926,25.355,28.616,24.142,63612.0
2015-08-27,26.349,27.175,27.334,24.967,56900.0
2015-08-28,27.841,29.392,29.68,26.856,63165.0
2015-08-31,28.636,26.459,28.815,26.449,53240.0
2015-09-01,26.339,23.814,26.339,23.814,37863.0
2015-09-02,22.173,22.014,25.206,21.477,39263.0
2015-09-07,22.869,24.162,24.212,22.72,52159.0
2015-09-08,23.366,26.27,26.27,23.078,63399.0
2015-09-09,26.2,27.373,27.94,25.852,81382.0
2015-09-10,26.648,26.419,27.443,26.16,52352.0
2015-09-11,26.21,26.667,27.344,26.21,38494.0
2015-09-14,26.996,24.003,27.294,24.003,39659.0
2015-09-15,22.869,21.616,23.446,21.606,55898.0
2015-09-16,21.974,23.774,23.774,21.875,47968.0
2015-09-17,24.629,23.714,25.355,23.515,68271.0
2015-09-18,24.062,24.47,24.858,23.098,52563.0
2015-09-21,23.764,26.916,26.916,23.545,85085.0
2015-09-22,27.841,27.354,28.636,26.469,108051.0
2015-09-23,26.797,27.602,28.338,26.409,86281.0
2015-09-24,27.9,28.238,28.954,27.443,75647.0
2015-09-25,28.089,26.071,28.288,25.653,62575.0
2015-09-28,26.528,27.662,27.841,25.832,47196.0
2015-09-29,26.846,26.777,27.274,26.31,45480.0
2015-09-30,27.145,27.145,28.04,26.648,47490.0
2015-10-08,28.338,28.934,29.153,27.851,65216.0
2015-10-09,28.934,28.954,29.302,28.447,48551.0
2015-10-12,28.954,31.321,31.848,28.954,77238.0
2015-10-13,30.824,34.453,34.453,30.714,98895.0
2015-10-14,34.91,37.903,37.903,34.91,145865.0
2015-10-15,38.082,40.071,41.463,36.978,143521.0
2015-10-16,39.673,40.518,40.767,38.828,116996.0
2015-10-19,39.693,39.375,42.616,39.186,125075.0
2015-10-20,38.888,43.312,43.312,38.888,83016.0
2015-10-21,46.723,43.849,47.647,41.761,245878.0
2015-10-22,43.75,48.234,48.234,42.755,244516.0
2015-10-23,49.726,47.797,50.113,46.583,244166.0
2015-10-26,46.802,43.143,46.802,43.014,175987.0
2015-10-27,42.706,47.458,47.458,42.258,157368.0
2015-10-28,47.727,43.71,47.727,43.054,130155.0
2015-10-29,43.75,43.471,45.221,42.656,100346.0
2015-10-30,43.869,45.191,47.707,41.532,150371.0
2015-11-02,42.924,49.437,49.716,42.835,271896.0
2015-11-03,49.407,48.214,51.287,46.812,198151.0
2015-11-04,47.876,53.037,53.037,47.28,197331.0
2015-11-05,53.663,55.681,57.74,52.679,228363.0
2015-11-06,54.787,56.954,57.968,54.787,159460.0
2015-11-09,55.93,54.936,56.646,52.5,176028.0
2015-11-10,54.846,53.146,54.846,51.376,161705.0
2015-11-11,52.092,53.593,54.985,50.62,168106.0
2015-11-12,52.699,50.809,52.897,50.71,138730.0
2015-11-13,50.223,48.87,52.072,48.731,104309.0
2015-11-16,48.562,49.039,49.507,45.738,82469.0
2015-11-17,49.875,47.528,51.157,47.429,96281.0
2015-11-18,47.727,47.687,49.716,46.743,79648.0
2015-11-19,47.926,49.716,49.716,47.13,91613.0
2015-11-20,49.904,48.602,50.511,48.145,85786.0
2015-11-23,48.234,47.866,49.616,46.991,76884.0
2015-11-24,48.155,49.914,49.914,47.429,96453.0
2015-11-25,49.298,51.396,52.599,48.781,126353.0
2015-11-26,50.939,48.771,52.5,48.731,94240.0
2015-11-27,48.055,43.899,48.055,43.899,105933.0
2015-11-30,43.75,43.352,44.247,39.782,76796.0
2015-12-01,42.775,41.731,43.551,41.065,50470.0
2015-12-02,42.059,42.755,43.402,40.27,56419.0
2015-12-03,42.755,43.65,44.227,42.258,58804.0
2015-12-04,43.789,42.059,44.028,41.343,82276.0
2015-12-07,42.238,42.964,43.243,41.781,51602.0
2015-12-08,42.358,41.542,42.358,40.767,57504.0
2015-12-09,41.085,40.876,41.87,40.568,43108.0
2015-12-10,40.866,42.397,43.034,40.787,79057.0
2015-12-11,42.159,41.224,42.159,40.946,44140.0
2015-12-14,39.772,41.403,41.612,39.275,55632.0
2015-12-15,41.324,41.741,42.258,40.986,43304.0
2015-12-16,41.96,41.89,43.203,41.861,49202.0
2015-12-17,42.358,44.923,45.341,42.358,94431.0
2015-12-18,44.495,43.62,44.784,43.153,67379.0
2015-12-21,43.342,43.799,44.147,42.805,41741.0
2015-12-22,43.839,43.939,44.625,43.65,41671.0
2015-12-23,44.764,44.247,45.987,44.048,83225.0
2015-12-24,42.885,42.517,43.65,41.334,57678.0
2015-12-25,42.308,41.97,42.954,41.662,35112.0
2015-12-28,41.99,41.363,43.054,41.363,41299.0
2015-12-29,40.876,41.015,41.264,39.772,42159.0
2015-12-30,41.155,40.966,41.264,40.349,34809.0
2015-12-31,40.976,39.375,41.165,39.375,43205.0
2016-01-04,39.275,35.437,39.275,35.437,41927.0
2016-01-05,32.116,33.071,35.01,31.898,53986.0
2016-01-06,33.409,34.463,34.682,32.613,53830.0
2016-01-07,33.707,31.013,33.707,31.013,14161.0
2016-01-08,31.52,30.575,32.136,28.497,49971.0
2016-01-11,28.875,27.523,30.327,27.523,49903.0
2016-01-12,27.145,28.577,28.815,27.085,50572.0
2016-01-13,28.925,26.846,29.133,26.846,40187.0
2016-01-14,25.852,29.531,29.531,25.653,53747.0
2016-01-15,29.77,29.829,31.202,28.925,88023.0
2016-01-18,28.984,31.182,31.719,28.974,67399.0
2016-01-19,31.023,31.748,31.818,30.108,74048.0
2016-01-20,30.834,30.426,31.47,30.128,54760.0
2016-01-21,29.78,29.501,31.46,29.332,52914.0
2016-01-22,30.018,29.949,30.297,28.835,42342.0
2016-01-25,30.416,30.426,30.933,29.889,37573.0
2016-01-26,29.829,27.383,29.829,27.383,40617.0
2016-01-27,27.393,27.592,28.0,25.156,40995.0
2016-01-28,27.045,25.653,27.393,25.584,29513.0
2016-01-29,25.852,27.145,27.592,25.852,31636.0
2016-02-01,27.045,26.648,27.145,26.031,27319.0
2016-02-02,26.697,27.731,28.089,26.697,38535.0
2016-02-03,27.234,27.841,28.02,26.449,33654.0
2016-02-04,27.642,28.497,29.312,27.642,42837.0
2016-02-05,28.497,27.92,28.835,27.662,25955.0
2016-02-15,26.528,27.443,27.841,26.369,24651.0
2016-02-16,27.831,30.187,30.187,27.542,59327.0
2016-02-17,30.028,30.157,30.257,29.392,57789.0
2016-02-18,30.317,29.73,31.192,29.63,55357.0
2016-02-19,29.432,30.177,30.496,29.432,39895.0
2016-02-22,30.535,30.675,31.023,30.227,40649.0
2016-02-23,30.336,29.949,30.505,29.511,41548.0
2016-02-24,30.426,30.814,30.824,29.531,54197.0
2016-02-25,30.724,27.731,30.724,27.731,54690.0
2016-02-26,28.338,26.548,28.338,25.454,39259.0
2016-02-29,26.2,23.973,26.369,23.893,34771.0
2016-03-01,23.863,23.973,25.256,22.869,27276.0
2016-03-02,24.361,25.474,25.653,24.311,37553.0
2016-03-03,25.206,25.295,26.449,25.156,40195.0
2016-03-04,24.838,24.052,25.325,23.426,33579.0
2016-03-07,24.361,24.937,25.604,24.261,29297.0
2016-03-08,24.709,25.285,25.355,23.148,38509.0
2016-03-09,24.351,24.4,25.057,24.062,25640.0
2016-03-10,24.112,24.182,24.848,24.112,20349.0
2016-03-11,23.863,26.598,26.598,23.376,92639.0
2016-03-14,26.846,27.642,28.437,26.508,106810.0
2016-03-15,27.373,26.648,27.403,26.608,57354.0
2016-03-16,27.175,26.001,27.443,25.713,48173.0
2016-03-17,24.868,27.652,28.149,24.868,100287.0
2016-03-18,27.344,28.785,29.312,27.204,104123.0
2016-03-21,29.034,29.581,29.601,28.447,92798.0
2016-03-22,29.064,28.895,29.601,28.716,64427.0
2016-03-23,28.934,29.71,30.814,28.845,118078.0
2016-03-24,28.934,28.437,29.302,28.338,104061.0
2016-03-25,28.219,28.129,28.706,27.652,63382.0
2016-03-28,28.507,27.94,28.835,27.721,83033.0
2016-03-29,27.791,26.747,27.94,26.21,68981.0
2016-03-30,27.135,27.96,28.089,26.996,82949.0
2016-03-31,28.417,28.447,29.452,27.92,152511.0
2016-04-01,28.149,29.63,30.008,28.139,189024.0
2016-04-05,29.442,30.197,30.446,28.815,164934.0
2016-04-06,29.829,30.128,30.535,29.342,109315.0
2016-04-07,30.476,29.65,31.47,29.432,138172.0
2016-04-08,29.153,30.078,30.237,28.865,92958.0
2016-04-11,30.436,30.227,30.824,29.72,145114.0
2016-04-12,29.839,29.223,29.959,28.636,82699.0
2016-04-13,29.352,30.257,31.013,29.352,130340.0
