date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-07-11,7.12,7.15,7.1,7.04,103638.97,-0.02,-0.28,7.1,7.1,7.1,103638.97,103638.97,103638.97
2016-07-12,7.09,7.21,7.21,7.06,164453.8,0.12,1.69,7.155,7.155,7.155,134046.39,134046.39,134046.39
2016-07-13,7.22,7.3,7.2,7.19,101025.02,0.0,0.0,7.17,7.17,7.17,123039.26,123039.26,123039.26
2016-07-14,7.22,7.28,7.26,7.17,66847.08,0.05,0.69,7.193,7.193,7.193,108991.22,108991.22,108991.22
2016-07-15,7.26,7.26,7.21,7.18,43959.42,-0.04,-0.55,7.196,7.196,7.196,95984.86,95984.86,95984.86
2016-07-18,7.19,7.27,7.18,7.15,73422.39,-0.03,-0.42,7.212,7.193,7.193,89941.54,92224.45,92224.45
2016-07-19,7.16,7.24,7.18,7.12,83070.45,0.0,0.0,7.206,7.191,7.191,73664.87,90916.73,90916.73
2016-07-20,7.16,7.17,7.12,7.12,47377.91,-0.06,-0.84,7.19,7.183,7.183,62935.45,85474.38,85474.38
2016-07-21,7.13,7.17,7.14,7.12,59160.62,0.01,0.14,7.166,7.178,7.178,61398.16,82550.63,82550.63
2016-07-22,7.13,7.15,7.09,7.08,46256.41,-0.06,-0.84,7.142,7.169,7.169,61857.56,78921.21,78921.21
2016-07-25,7.08,7.14,7.09,7.07,39038.77,0.0,0.0,7.124,7.168,7.162,54980.83,72461.19,75295.53
2016-07-26,7.08,7.14,7.13,7.08,71442.87,0.03,0.42,7.114,7.16,7.159,52655.32,63160.09,74974.48
2016-07-27,7.15,7.25,7.24,6.99,184624.34,0.11,1.54,7.138,7.164,7.165,80104.6,71520.03,83409.08
2016-07-28,7.2,7.45,7.44,7.13,331878.84,0.2,2.76,7.198,7.182,7.185,134648.25,98023.2,101156.92
2016-07-29,7.38,7.44,7.29,7.28,121740.21,-0.14,-1.88,7.238,7.19,7.192,149745.01,105801.28,102529.14
2016-08-01,7.33,7.35,7.31,7.21,80113.0,0.01,0.14,7.282,7.203,7.199,157959.85,106470.34,101128.13
2016-08-02,7.3,7.31,7.29,7.23,49944.19,-0.02,-0.27,7.314,7.214,7.205,153660.12,103157.72,98117.31
2016-08-03,7.21,7.25,7.17,7.13,145668.19,-0.12,-1.65,7.3,7.219,7.203,145868.89,112986.74,100759.03
2016-08-04,7.15,7.2,7.18,7.12,68763.04,0.02,0.28,7.248,7.223,7.202,93245.73,113946.99,99075.03
2016-08-05,7.18,7.2,7.17,7.14,53488.22,-0.01,-0.14,7.224,7.231,7.2,79595.33,114670.17,96795.69
2016-08-08,7.15,7.2,7.2,7.11,94314.17,0.03,0.42,7.202,7.242,7.205,82435.56,120197.71,96329.45
2016-08-09,7.2,7.24,7.21,7.18,96411.61,0.01,0.14,7.186,7.25,7.205,91729.05,122694.58,92927.34
