date,open,close,high,low,volume
2013-01-04,154.255,150.573,154.255,149.162,58370.0
2013-01-07,149.802,148.645,149.802,147.343,41271.0
2013-01-08,147.837,153.411,153.418,147.837,65286.0
2013-01-09,153.891,157.493,158.366,153.891,53749.0
2013-01-10,156.86,156.074,157.893,154.983,30527.0
2013-01-11,155.506,153.717,156.547,152.712,37009.0
2013-01-14,151.708,152.378,153.018,147.568,68183.0
2013-01-15,151.919,153.418,154.328,150.486,52635.0
2013-01-16,149.162,149.889,150.471,148.201,69501.0
2013-01-17,149.154,149.256,151.112,148.812,36201.0
2013-01-18,149.998,148.259,150.238,145.604,55318.0
2013-01-21,147.561,143.566,147.561,142.831,74779.0
2013-01-22,142.475,144.672,145.327,137.52,73815.0
2013-01-23,142.613,144.781,145.167,141.012,51013.0
2013-01-24,143.996,142.584,145.596,141.74,59474.0
2013-01-25,137.52,137.556,139.557,135.41,80007.0
2013-01-28,135.337,129.88,136.647,129.516,158290.0
2013-01-29,128.061,129.632,130.964,125.15,115447.0
2013-01-30,128.825,131.058,132.783,128.555,71376.0
2013-01-31,131.844,130.171,132.281,129.349,37816.0
2013-02-01,130.156,130.229,132.259,129.538,45265.0
2013-02-04,130.971,127.428,131.662,126.605,64964.0
2013-02-05,127.297,134.195,134.245,126.46,87825.0
2013-02-06,134.595,133.831,134.66,132.426,46195.0
2013-02-07,133.154,134.733,135.737,131.932,48567.0
2013-02-08,134.718,136.69,137.083,134.1,41572.0
2013-02-18,137.01,130.746,137.01,130.244,56569.0
2013-02-19,130.229,129.458,131.4,128.643,37737.0
2013-02-20,128.788,129.443,130.957,127.348,36582.0
2013-02-21,127.5,130.986,134.755,127.369,53832.0
2013-02-22,131.699,135.039,135.773,131.699,62864.0
2013-02-25,133.882,131.764,134.864,131.16,34549.0
2013-02-26,131.481,129.058,133.882,129.028,43754.0
2013-02-27,128.505,128.621,130.025,127.741,34158.0
2013-02-28,129.37,127.333,129.37,125.15,56786.0
2013-03-01,126.824,126.475,128.032,125.871,38003.0
2013-03-04,126.402,127.129,128.512,126.402,52072.0
2013-03-05,127.639,127.333,128.395,126.504,36974.0
2013-03-06,128.061,128.948,129.007,126.351,49227.0
2013-03-07,130.52,133.78,137.229,130.476,85190.0
2013-03-08,135.344,133.976,136.428,133.642,35959.0
2013-03-11,133.736,134.755,134.973,132.288,34965.0
2013-03-12,135.337,132.557,135.41,130.971,25393.0
2013-03-13,132.717,133.758,135.351,132.717,30769.0
2013-03-14,132.79,130.2,134.442,129.996,35124.0
2013-03-15,129.167,128.767,131.481,127.406,35961.0
2013-03-18,128.716,123.295,128.716,122.378,78231.0
2013-03-19,122.385,120.188,123.564,119.7,63414.0
2013-03-20,120.246,123.63,124.124,119.402,71894.0
2013-03-21,123.331,121.352,123.331,120.639,65392.0
2013-03-22,121.134,123.004,123.622,120.574,45578.0
2013-03-25,122.967,122.989,124.255,122.313,31966.0
2013-03-26,123.04,123.608,124.575,122.538,32480.0
2013-03-27,123.702,121.359,123.986,120.348,47662.0
2013-03-28,120.843,121.381,122.371,118.1,41490.0
2013-03-29,121.694,122.866,123.382,120.799,47717.0
2013-04-01,122.305,120.021,122.574,119.751,29128.0
2013-04-02,120.13,119.118,120.763,118.798,32524.0
2013-04-03,119.096,119.22,120.057,118.733,21990.0
