date,close,open,high,low,volume,MA5,EMA10,MA10,MA20,MA30,MA60,AR,BR,BIAS0,BIAS01,BIAS02,BIAS1,BIAS11,BIAS12,UL0,ML0,LL0,UL1,ML1,LL1,DMA,AMA,DPO,EMA20,EMA30,KValue,DValue,JValue,PSY,WVAD,WR,MR,SR,WS,MS,SS
2017-11-21,22.28,22.28,22.28,22.28,29952.58,22.28,22.28,22.28,22.28,22.28,22.28,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28,22.28,22.28,40.11183855540857,22.28,40.11183855540857,0.0,0.0,0.0,22.28,22.28,33.33333333333333,44.444444444444436,66.66666666666666,50.0,0.0,22.28,22.28,22.28,22.28,22.28,22.28
2017-11-22,24.51,23.49,24.51,21.82,323330.59,23.395000000000003,22.685454545454547,22.685454545454547,22.492380952380955,22.423870967741937,22.35311475409836,61.07784431137806,100.0,10.008976660682228,10.008976660682228,10.008976660682228,10.008976660682228,10.008976660682228,10.008976660682228,25.625000000000004,23.395000000000003,25.625000000000004,40.660234883464895,22.492380952380955,40.660234883464895,0.0,0.0,2.2300000000000004,22.492380952380955,22.423870967741937,55.55555555555554,48.14814814814814,33.333333333333314,50.0,1471.2142831226806,25.854999999999997,26.5275,27.200000000000003,23.164999999999996,21.147499999999997,19.13
2017-11-23,26.96,25.8,26.96,25.8,163248.27,24.583333333333332,23.462644628099174,23.462644628099174,22.917868480725627,22.71652445369407,22.504160171996773,130.53892215569002,484.78260869565133,21.005385996409334,21.005385996409334,21.005385996409334,21.005385996409334,21.005385996409334,21.005385996409334,28.405944424662863,24.583333333333332,28.405944424662863,42.081308355385524,22.917868480725627,40.08673571945571,0.0,0.0,4.68,22.917868480725627,22.71652445369407,70.37037037037035,55.55555555555554,25.925925925925924,50.0,2286.7956820817867,31.520000000000003,31.810000000000002,32.1,26.380000000000003,21.53,16.68
2017-11-24,27.0,28.0,28.98,26.0,460712.88,25.1875,24.10580015026296,24.10580015026296,23.306642911132712,22.99287771474607,22.651564756521466,86.103542234333,-563.8554216867482,21.184919210053856,21.184919210053856,21.184919210053856,21.184919210053856,21.184919210053856,21.184919210053856,29.104064183056366,25.1875,29.104064183056366,44.14681845477021,23.306642911132712,39.50998332722901,0.0,0.0,4.719999999999999,23.306642911132712,22.99287771474607,71.02903648527483,60.713382532128634,40.08207462583624,50.0,787.4869360579846,32.67,34.405,36.14,25.51,20.085,14.66
2017-11-27,25.59,27.0,28.11,25.32,270503.59,25.268,24.375654668396965,24.375654668396965,23.524105491024834,23.160433991214067,22.74790689565191,79.81308411214981,5153.8461538460515,14.856373429084375,14.856373429084375,14.856373429084375,14.856373429084375,14.856373429084375,14.856373429084375,28.78584934299353,25.268,28.78584934299353,45.77538284929319,23.524105491024834,39.504580667753736,0.0,0.0,3.3099999999999987,23.524105491024834,23.160433991214067,64.90390141848862,62.110222160915285,56.52286364576864,50.0,-26.199804960064217,30.485,33.3125,36.14,23.325,18.9925,14.66
2017-11-28,26.54,25.58,26.98,24.81,238425.02,26.119999999999997,24.769172001415697,24.769172001415697,23.81133353949866,23.378470507909935,22.872237817105944,92.64705882353003,431.49171270718176,19.12028725314182,19.12028725314182,19.12028725314182,19.12028725314182,19.12028725314182,19.12028725314182,28.82837273910776,25.48,28.82837273910776,46.8796342675126,23.81133353949866,39.94509462886319,0.0,0.0,4.259999999999998,23.81133353949866,23.378470507909935,65.24319684882481,63.15454705688512,58.97724747300575,50.0,400.08022864695107,30.615000000000002,33.3775,36.14,23.455000000000002,19.0575,14.66
2017-11-29,24.94,26.1,26.21,24.68,196596.14,26.206,24.800231637521932,24.800231637521932,23.91882558335593,23.479214346109295,22.940033298512308,76.65782493368776,355.21235521235474,6.603975208377849,11.938958707360863,11.938958707360863,8.826829572372532,11.938958707360863,11.938958707360863,28.525799240773587,25.40285714285714,28.525799240773587,47.918810594922135,23.91882558335593,40.00642031132263,0.0,0.0,2.66,23.91882558335593,23.479214346109295,58.02060423068768,61.443232781485975,68.28848988308258,50.0,-168.11391583762713,28.565000000000005,32.352500000000006,36.14,21.405000000000005,18.032500000000002,14.66
2017-11-30,26.21,24.51,27.15,24.51,260023.72,26.056,25.056553157972488,25.056553157972488,24.137032670655366,23.65539406571515,23.0472453215119,111.67108753315762,199.3258426966291,6.616949152542381,17.639138240574503,17.639138240574503,8.880580565305138,17.639138240574503,17.639138240574503,28.473378554213472,25.50375,28.473378554213472,48.83735005338974,24.137032670655366,40.575001718926956,0.0,0.0,2.8149999999999977,24.137032670655366,23.65539406571515,59.11801920779551,60.66816159025582,63.76844635517645,50.0,355.21887364207663,27.529999999999998,30.49,33.45,23.06,21.55,20.040000000000003
2017-12-01,27.2,26.22,28.0,25.7,262779.16,26.095999999999997,25.446270765613853,25.446270765613853,24.428743844878667,23.88407831953998,23.18340121260987,126.55086848635332,227.0491803278687,7.990074441687342,22.082585278276472,22.082585278276472,9.1985907744888,22.082585278276472,22.082585278276472,28.68814208137552,25.69222222222222,28.68814208137552,49.80460814707472,24.428743844878667,40.82561488502134,0.0,0.0,2.616666666666667,24.428743844878667,23.88407831953998,64.4585677400201,61.931630306843914,56.87775544049154,50.0,614.328169962039,29.539999999999996,31.494999999999997,33.45,25.069999999999997,22.555,20.040000000000003
2017-12-04,28.18,27.4,28.68,27.25,285620.0,26.613999999999997,25.943312444593154,25.943312444593154,24.786006335842604,24.161234556989015,23.34722412367184,139.8294762484792,238.7755102040814,11.524457812252647,26.481149012567318,26.481149012567318,12.25575396311862,26.481149012567318,26.481149012567318,29.15130154346908,25.940999999999995,29.15130154346908,50.69907259989753,24.786006335842604,40.699700619617964,0.0,0.0,2.9924999999999997,24.786006335842604,24.161234556989015,72.58131704083276,65.48152588484018,51.28194357285503,50.0,926.7978984203813,31.634999999999994,32.24249999999999,32.849999999999994,27.464999999999996,23.9025,20.340000000000003
