date,close,open,high,low,volume,MA5,EMA10,MA10,MA20,MA30,MA60
2016-10-17,16.28,16.41,16.44,16.22,164249.05,16.28,16.28,16.28,16.28,16.28,16.28
2016-10-18,16.33,16.28,16.39,16.24,182518.33,16.305,16.28909090909091,16.28909090909091,16.284761904761904,16.283225806451615,16.281639344262295
2016-10-19,16.27,16.35,16.39,16.24,111431.67,16.293333333333333,16.285619834710744,16.285619834710744,16.283356009070296,16.282372528616026,16.28125772641763
2016-10-20,16.3,16.27,16.34,16.25,89857.94,16.294999999999998,16.288234410217882,16.288234410217882,16.284941151063602,16.283509784834347,16.28187222719082
2016-10-21,16.29,16.29,16.34,16.22,108847.98,16.294,16.2885554265419,16.2885554265419,16.285422946200402,16.283928508393423,16.28213871154522
2016-10-24,16.47,16.3,16.58,16.27,247572.41,16.332,16.321545348988828,16.321545348988828,16.303001713228934,16.295933120755137,16.288298098051932
2016-10-25,16.42,16.48,16.5,16.36,133093.2,16.35,16.33944619462722,16.33944619462722,16.31414440720713,16.30393743554513,16.29261619319777
2016-10-26,16.32,16.4,16.42,16.3,124368.05,16.360000000000003,16.335910522876816,16.335910522876816,16.314702082711214,16.30497373002609,16.29351402292899
2016-10-27,16.2,16.3,16.31,16.18,195174.55,16.34,16.311199518717395,16.311199518717395,16.303778074833957,16.29820123131473,16.290447989390334
2016-10-28,16.34,16.19,16.34,16.18,150672.05,16.35,16.316435969859686,16.316435969859686,16.307227781992626,16.30089792606862,16.292072645475898
2016-10-31,16.26,16.23,16.31,16.01,146732.98,16.308,16.30617488443065,16.30617488443065,16.30272989799333,16.298259350193227,16.291021083329145
2016-11-01,16.31,16.26,16.33,16.21,130282.59,16.286,16.306870359988714,16.306870359988714,16.303422288660634,16.299016811471084,16.291643342892122
2016-11-02,16.19,16.21,16.3,16.18,250511.59,16.259999999999998,16.28562120362713,16.28562120362713,16.292620165931048,16.291983468795532,16.28831077427271
2016-11-03,16.36,16.19,16.38,16.19,258641.09,16.291999999999998,16.29914462114947,16.29914462114947,16.299037292985233,16.296371632099046,16.290661240689996
2016-11-04,16.39,16.3,16.53,16.29,215164.75,16.302,16.315663780940472,16.315663780940472,16.30770040793902,16.302412171963624,16.29391824919196
2016-11-07,16.43,16.39,16.45,16.38,213516.58,16.336000000000002,16.33645218440584,16.33645218440584,16.319347988135302,16.310643644740164,16.298379945939764
2016-11-08,16.47,16.45,16.54,16.44,173071.55,16.368000000000002,16.360733605422958,16.360733605422958,16.333695798789083,16.32092469991822,16.304006832958134
2016-11-09,16.46,16.47,16.53,16.36,398265.81,16.422000000000004,16.3787820408006,16.3787820408006,16.345724770332982,16.329897299923495,16.30912136302508
2016-11-10,16.56,16.55,16.64,16.48,204845.55,16.462,16.411730760655036,16.411730760655036,16.366131935063173,16.344742635412302,16.317346892106226
2016-11-11,16.6,16.56,16.63,16.45,215391.88,16.504,16.44596153144503,16.44596153144503,16.388405084104775,16.36121085248248,16.326614207119135
2016-11-14,16.6,16.53,16.7,16.52,181244.95,16.538,16.47396852572775,16.47396852572775,16.4085569808567,16.376616603935222,16.33557767573818
2016-11-15,16.58,16.59,16.61,16.5,157141.42,16.56,16.49324697559543,16.49324697559543,16.424884887441777,16.389738113358757,16.343591522435286
2016-11-16,16.6,16.59,16.63,16.54,123955.04,16.588,16.51265661639626,16.51265661639626,16.441562517209228,16.40330339636787,16.351998357765275
2016-11-17,16.6,16.58,16.63,16.52,227185.56,16.595999999999997,16.52853723159694,16.52853723159694,16.45665180128454,16.41599349982801,16.360129559150018
2016-11-18,16.6,16.59,16.64,16.55,292743.84,16.595999999999997,16.541530462215675,16.541530462215675,16.470304010686014,16.42786488693588,16.36799416376805
2016-11-21,16.65,16.59,16.73,16.54,214324.53,16.606,16.56125219635828,16.56125219635828,16.487417914430203,16.44219618455292,16.37724025675926
2016-11-22,16.67,16.67,16.72,16.63,210809.69,16.624000000000002,16.581024524293134,16.581024524293134,16.50480668448447,16.456893204904343,16.386838936865516
2016-11-23,16.94,16.68,17.23,16.66,450364.28,16.692,16.646292792603475,16.646292792603475,16.546253666914524,16.488061385233095,16.404975365165008
2016-11-24,16.9,16.93,17.12,16.86,210431.41,16.752,16.69242137576648,16.69242137576648,16.579943793875046,16.51463807005677,16.421205681061235
2016-11-25,17.08,16.89,17.1,16.81,233352.3,16.848,16.762890216536206,16.762890216536206,16.627568194458373,16.551113033278913,16.442805494796932
2016-11-28,17.21,17.15,17.49,17.15,338352.81,16.96,16.844182904438714,16.844182904438714,16.68303789022424,16.593621869841563,16.46795941300031
2016-11-29,17.3,17.21,17.35,17.11,295300.97,17.086,16.92705873999531,16.92705873999531,16.741796186393362,16.63919465243243,16.4952394322462
2016-11-30,17.16,17.28,17.45,17.1,201350.27,17.13,16.9694116963598,16.9694116963598,16.781625121022564,16.67279499743679,16.517034860697144
2016-12-01,17.15,17.15,17.27,17.05,184492.19,17.18,17.00224593338529,17.00224593338529,16.81670844282994,16.703582416956998,16.537787816084123
2016-12-02,17.09,17.1,17.18,16.8,338958.75,17.182,17.018201218224327,17.018201218224327,16.842736210179467,16.728512583604935,16.55589313358956
2016-12-05,17.3,16.95,17.32,16.91,382013.69,17.2,17.069437360365356,17.069437360365356,16.88628514254333,16.76538273950139,16.580290080029243
2016-12-06,17.2,17.28,17.42,17.2,209480.75,17.18,17.09317602211711,17.09317602211711,16.91616274801539,16.793422562759368,16.60060843806107
2016-12-07,17.07,17.17,17.2,17.06,155507.48,17.162,17.088962199913997,17.088962199913997,16.93081391487107,16.811266268387797,16.615998325337753
2016-12-08,17.14,17.15,17.2,17.04,132345.69,17.16,17.09824179992963,17.09824179992963,16.950736399169063,16.832474896233748,16.633178708113565
2016-12-09,17.34,17.14,17.46,17.12,288356.47,17.21,17.14219783630606,17.14219783630606,16.987809123057723,16.865218451315442,16.656353176700005
2016-12-12,17.49,17.34,17.57,17.19,483595.53,17.247999999999998,17.205434593341323,17.205434593341323,17.035636825623655,16.90552693832735,16.68368585943115
2016-12-13,17.17,17.36,17.44,17.16,156028.69,17.241999999999997,17.198991940006536,17.198991940006536,17.048433318421402,16.92258971649978,16.69963058535144
2016-12-14,17.18,17.17,17.42,17.12,178605.52,17.264,17.195538860005346,17.195538860005346,17.060963478571743,16.93919683156431,16.71538040222516
2016-12-15,16.7,17.13,17.13,16.7,308096.12,17.176000000000002,17.10544088545892,17.10544088545892,17.026586004422054,16.923764777915,16.714876126742368
2016-12-16,16.66,16.7,16.83,16.63,145313.66,17.04,17.024451633557298,17.024451633557298,16.991673051619955,16.906747695468873,16.713076909472125
2016-12-19,16.52,16.65,16.7,16.51,84834.93,16.845999999999997,16.932733154728698,16.932733154728698,16.946751808608532,16.881796231245076,16.706746518997626
2016-12-20,16.28,16.52,16.56,16.12,225258.17,16.668,16.814054399323478,16.814054399323478,16.8832516363601,16.842970667938943,16.692754829850163
2016-12-21,16.32,16.26,16.37,16.25,126388.09,16.496,16.724226326719208,16.724226326719208,16.829608623373424,16.80923062484611,16.68053336001901
2016-12-22,16.19,16.32,16.33,16.14,114991.9,16.394,16.627094267315716,16.627094267315716,16.76869351638548,16.76928026195281,16.66445029903478
2016-12-23,16.19,16.17,16.22,16.07,111879.06,16.3,16.54762258234922,16.54762258234922,16.71357984815829,16.731907341826822,16.648894551525444
2016-12-26,16.25,16.13,16.28,16.01,144824.56,16.246000000000002,16.49350938555845,16.49350938555845,16.66942938642893,16.700816545579933,16.635816041639362
